"","x"
"1","SPGP_0CZ00670"
"2","SPGP_0CZ02140"
"3","SPGP_0CZ02270"
"4","SPGP_0DB00840"
"5","SPGP_0DB02010"
"6","SPGP_0DB03380"
"7","SPGP_0DD00120"
"8","SPGP_0DE00130"
"9","SPGP_0DN00610"
"10","SPGP_0DN02350"
"11","SPGP_0DN02360"
"12","SPGP_0K00140"
"13","SPGP_0K00200"
"14","SPGP_0DU01290"
"15","SPGP_0DU01450"
"16","SPGP_0DW00100"
"17","SPGP_0L01010"
"18","SPGP_0L01640"
"19","SPGP_0DZ00490"
"20","SPGP_0DZ00910"
"21","SPGP_0DZ01670"
"22","SPGP_0M01620"
"23","SPGP_0M02520"
"24","SPGP_0N01260"
"25","SPGP_0P00480"
"26","SPGP_0P01220"
"27","SPGP_0FU00100"
"28","SPGP_0Q02300"
"29","SPGP_0Q02380"
"30","SPGP_0Q02900"
"31","SPGP_0Q04270"
"32","SPGP_0R00830"
"33","SPGP_0R01240"
"34","SPGP_0R02060"
"35","SPGP_0R02930"
"36","SPGP_0S01620"
"37","SPGP_0S01630"
"38","SPGP_0T00360"
"39","SPGP_0U00170"
"40","SPGP_0U01040"
"41","SPGP_0V00370"
"42","SPGP_0V00620"
"43","SPGP_0V01020"
"44","SPGP_0V01460"
"45","SPGP_0V01490"
"46","SPGP_0W00100"
"47","SPGP_0W00420"
"48","SPGP_0W00760"
"49","SPGP_0W00780"
"50","SPGP_0W00850"
"51","SPGP_0W02900"
"52","SPGP_0W04540"
"53","SPGP_0X00660"
"54","SPGP_0X01050"
"55","SPGP_0Y00420"
"56","SPGP_0Y00630"
"57","SPGP_0Z01130"
"58","SPGP_0Z01930"
"59","SPGP_0AA00520"
"60","SPGP_0AE00490"
"61","SPGP_0AE00810"
"62","SPGP_0AE01190"
"63","SPGP_0AI00140"
"64","SPGP_0C00780"
"65","SPGP_0C01050"
"66","SPGP_0C01120"
"67","SPGP_0C02490"
"68","SPGP_0C02640"
"69","SPGP_0D00640"
"70","SPGP_0BF00120"
"71","SPGP_0BF00410"
"72","SPGP_0E01340"
"73","SPGP_0F01270"
"74","SPGP_0F02500"
"75","SPGP_0F02780"
"76","SPGP_0F03330"
"77","SPGP_0F03530"
"78","SPGP_0G02160"
"79","SPGP_0G02650"
"80","SPGP_0I00130"
"81","SPGP_0I00350"
