"","x"
"1","SPGP_0CZ00420"
"2","SPGP_0CZ00650"
"3","SPGP_0CZ00710"
"4","SPGP_0CZ00950"
"5","SPGP_0CZ01480"
"6","SPGP_0CZ01600"
"7","SPGP_0CZ01620"
"8","SPGP_0CZ01910"
"9","SPGP_0CZ02260"
"10","SPGP_0CZ02930"
"11","SPGP_0CZ03040"
"12","SPGP_0DB00120"
"13","SPGP_0DB00150"
"14","SPGP_0DB00290"
"15","SPGP_0DB00710"
"16","SPGP_0DB01130"
"17","SPGP_0DB01170"
"18","SPGP_0DB01600"
"19","SPGP_0DB01610"
"20","SPGP_0DB01920"
"21","SPGP_0DB02310"
"22","SPGP_0DB02360"
"23","SPGP_0DB02370"
"24","SPGP_0DB02390"
"25","SPGP_0DB02400"
"26","SPGP_0DB02510"
"27","SPGP_0DB02730"
"28","SPGP_0DB02820"
"29","SPGP_0DB02860"
"30","SPGP_0DB02890"
"31","SPGP_0DB03050"
"32","SPGP_0DB03060"
"33","SPGP_0DB03400"
"34","SPGP_0DC00100"
"35","SPGP_0DC00110"
"36","SPGP_0DC00140"
"37","SPGP_0DC00180"
"38","SPGP_0DC00330"
"39","SPGP_0DC00830"
"40","SPGP_0DC01400"
"41","SPGP_0DC01440"
"42","SPGP_0DC01450"
"43","SPGP_0DC02330"
"44","SPGP_0DC02550"
"45","SPGP_0DC02580"
"46","SPGP_0DC02740"
"47","SPGP_0DC02770"
"48","SPGP_0DC02850"
"49","SPGP_0DC03270"
"50","SPGP_0DC03670"
"51","SPGP_0DD00110"
"52","SPGP_0DD00330"
"53","SPGP_0DD00440"
"54","SPGP_0DD00590"
"55","SPGP_0DD00730"
"56","SPGP_0DD01180"
"57","SPGP_0DD01460"
"58","SPGP_0DD01530"
"59","SPGP_0DD01610"
"60","SPGP_0DD01920"
"61","SPGP_0DE00120"
"62","SPGP_0DE00180"
"63","SPGP_0DE00190"
"64","SPGP_0DE00380"
"65","SPGP_0DE00430"
"66","SPGP_0DE00740"
"67","SPGP_0DN00150"
"68","SPGP_0DN01510"
"69","SPGP_0DN01600"
"70","SPGP_0DN01620"
"71","SPGP_0DN01690"
"72","SPGP_0DN01930"
"73","SPGP_0DN02180"
"74","SPGP_0DN02240"
"75","SPGP_0DN02430"
"76","SPGP_0DN03100"
"77","SPGP_0DN03220"
"78","SPGP_0DN03310"
"79","SPGP_0DN03640"
"80","SPGP_0DN03650"
"81","SPGP_0DN03660"
"82","SPGP_0DN03790"
"83","SPGP_0DN03820"
"84","SPGP_0DN03940"
"85","SPGP_0DN03980"
"86","SPGP_0DN03990"
"87","SPGP_0K00210"
"88","SPGP_0K00300"
"89","SPGP_0K00440"
"90","SPGP_0K00620"
"91","SPGP_0K00640"
"92","SPGP_0K00700"
"93","SPGP_0K00840"
"94","SPGP_0K01140"
"95","SPGP_0K01230"
"96","SPGP_0K01480"
"97","SPGP_0K01520"
"98","SPGP_0K01750"
"99","SPGP_0K01900"
"100","SPGP_0K02590"
"101","SPGP_0K02730"
"102","SPGP_0K02740"
"103","SPGP_0DU00330"
"104","SPGP_0DU00540"
"105","SPGP_0DU00830"
"106","SPGP_0DV00190"
"107","SPGP_0DV00490"
"108","SPGP_0DV00620"
"109","SPGP_0DX00110"
"110","SPGP_0DX00120"
"111","SPGP_0DX00140"
"112","SPGP_0DX00170"
"113","SPGP_0DX00260"
"114","SPGP_0DX00360"
"115","SPGP_0DX00420"
"116","SPGP_0DX00430"
"117","SPGP_0DX00540"
"118","SPGP_0L00120"
"119","SPGP_0L00690"
"120","SPGP_0L00700"
"121","SPGP_0L00790"
"122","SPGP_0L01120"
"123","SPGP_0L01240"
"124","SPGP_0L01350"
"125","SPGP_0L01450"
"126","SPGP_0DZ00180"
"127","SPGP_0DZ00260"
"128","SPGP_0DZ00860"
"129","SPGP_0DZ00870"
"130","SPGP_0DZ00920"
"131","SPGP_0DZ01150"
"132","SPGP_0DZ01250"
"133","SPGP_0DZ01260"
"134","SPGP_0DZ01680"
"135","SPGP_0DZ01740"
"136","SPGP_0EA00100"
"137","SPGP_0EE00220"
"138","SPGP_0M00520"
"139","SPGP_0M00580"
"140","SPGP_0M00770"
"141","SPGP_0M00920"
"142","SPGP_0M01020"
"143","SPGP_0M01070"
"144","SPGP_0M01360"
"145","SPGP_0M01420"
"146","SPGP_0M01460"
"147","SPGP_0M01550"
"148","SPGP_0M01660"
"149","SPGP_0M01670"
"150","SPGP_0M01680"
"151","SPGP_0M01900"
"152","SPGP_0M02000"
"153","SPGP_0M02090"
"154","SPGP_0M02110"
"155","SPGP_0M02220"
"156","SPGP_0M02230"
"157","SPGP_0M02460"
"158","SPGP_0M02470"
"159","SPGP_0M02730"
"160","SPGP_0M02960"
"161","SPGP_0M03160"
"162","SPGP_0M03230"
"163","SPGP_0M03460"
"164","SPGP_0M03490"
"165","SPGP_0M03750"
"166","SPGP_0ER00100"
"167","SPGP_0N00100"
"168","SPGP_0N00220"
"169","SPGP_0N00450"
"170","SPGP_0N00550"
"171","SPGP_0N00630"
"172","SPGP_0N00680"
"173","SPGP_0N00730"
"174","SPGP_0N00810"
"175","SPGP_0N00840"
"176","SPGP_0N00940"
"177","SPGP_0N00960"
"178","SPGP_0N01110"
"179","SPGP_0N01350"
"180","SPGP_0N01630"
"181","SPGP_0N01640"
"182","SPGP_0N02000"
"183","SPGP_0N02300"
"184","SPGP_0ET00100"
"185","SPGP_0ET00160"
"186","SPGP_0ET00180"
"187","SPGP_0P00180"
"188","SPGP_0P00190"
"189","SPGP_0P00280"
"190","SPGP_0P00310"
"191","SPGP_0P00390"
"192","SPGP_0P00620"
"193","SPGP_0P00710"
"194","SPGP_0P00730"
"195","SPGP_0P00780"
"196","SPGP_0P00890"
"197","SPGP_0P00910"
"198","SPGP_0P01130"
"199","SPGP_0P01400"
"200","SPGP_0P01430"
"201","SPGP_0P01450"
"202","SPGP_0P01530"
"203","SPGP_0P01930"
"204","SPGP_0P02030"
"205","SPGP_0P02290"
"206","SPGP_0P02670"
"207","SPGP_0P02780"
"208","SPGP_0P02790"
"209","SPGP_0P02890"
"210","SPGP_0P03010"
"211","SPGP_0P03120"
"212","SPGP_0P03140"
"213","SPGP_0FT00110"
"214","SPGP_0FT00120"
"215","SPGP_0FT00130"
"216","SPGP_0FT00150"
"217","SPGP_0Q00160"
"218","SPGP_0Q00210"
"219","SPGP_0Q00270"
"220","SPGP_0Q00520"
"221","SPGP_0Q00530"
"222","SPGP_0Q00610"
"223","SPGP_0Q00640"
"224","SPGP_0Q00650"
"225","SPGP_0Q00660"
"226","SPGP_0Q00850"
"227","SPGP_0Q01110"
"228","SPGP_0Q01470"
"229","SPGP_0Q01480"
"230","SPGP_0Q01630"
"231","SPGP_0Q02090"
"232","SPGP_0Q02120"
"233","SPGP_0Q02490"
"234","SPGP_0Q02860"
"235","SPGP_0Q03220"
"236","SPGP_0Q03550"
"237","SPGP_0Q03660"
"238","SPGP_0Q03680"
"239","SPGP_0Q03690"
"240","SPGP_0Q03700"
"241","SPGP_0Q03920"
"242","SPGP_0Q03930"
"243","SPGP_0Q03950"
"244","SPGP_0Q04100"
"245","SPGP_0Q04240"
"246","SPGP_0Q04280"
"247","SPGP_0Q04490"
"248","SPGP_0Q04510"
"249","SPGP_0Q04590"
"250","SPGP_0Q04660"
"251","SPGP_0Q04900"
"252","SPGP_0Q04910"
"253","SPGP_0Q04950"
"254","SPGP_0Q04980"
"255","SPGP_0R00820"
"256","SPGP_0R01220"
"257","SPGP_0R01230"
"258","SPGP_0R01570"
"259","SPGP_0R02340"
"260","SPGP_0R02470"
"261","SPGP_0R02510"
"262","SPGP_0R02850"
"263","SPGP_0R02970"
"264","SPGP_0R03130"
"265","SPGP_0R03400"
"266","SPGP_0R03440"
"267","SPGP_0R03510"
"268","SPGP_0R03520"
"269","SPGP_0S00180"
"270","SPGP_0S00270"
"271","SPGP_0S00610"
"272","SPGP_0S00680"
"273","SPGP_0S00690"
"274","SPGP_0S00890"
"275","SPGP_0S01000"
"276","SPGP_0S01410"
"277","SPGP_0S01420"
"278","SPGP_0S01550"
"279","SPGP_0S01580"
"280","SPGP_0S01770"
"281","SPGP_0S01900"
"282","SPGP_0S01910"
"283","SPGP_0S01940"
"284","SPGP_0S02120"
"285","SPGP_0S02130"
"286","SPGP_0S02210"
"287","SPGP_0S02230"
"288","SPGP_0S02340"
"289","SPGP_0S02380"
"290","SPGP_0S02390"
"291","SPGP_0S02420"
"292","SPGP_0S02780"
"293","SPGP_0S02790"
"294","SPGP_0S02900"
"295","SPGP_0S03060"
"296","SPGP_0S03090"
"297","SPGP_0S03130"
"298","SPGP_0S03270"
"299","SPGP_0S03340"
"300","SPGP_0S03500"
"301","SPGP_0S03570"
"302","SPGP_0T00140"
"303","SPGP_0T00220"
"304","SPGP_0T00250"
"305","SPGP_0U00450"
"306","SPGP_0U00810"
"307","SPGP_0U00920"
"308","SPGP_0U01450"
"309","SPGP_0U01700"
"310","SPGP_0U01800"
"311","SPGP_0U01940"
"312","SPGP_0U02080"
"313","SPGP_0U02100"
"314","SPGP_0V00150"
"315","SPGP_0V00270"
"316","SPGP_0V00390"
"317","SPGP_0V00590"
"318","SPGP_0V00680"
"319","SPGP_0V00810"
"320","SPGP_0V00860"
"321","SPGP_0V00980"
"322","SPGP_0V01030"
"323","SPGP_0V01180"
"324","SPGP_0V01330"
"325","SPGP_0V01380"
"326","SPGP_0V01450"
"327","SPGP_0V01830"
"328","SPGP_0V01860"
"329","SPGP_0V01900"
"330","SPGP_0V01920"
"331","SPGP_0V01950"
"332","SPGP_0V01970"
"333","SPGP_0V02010"
"334","SPGP_0W00140"
"335","SPGP_0W00150"
"336","SPGP_0W00180"
"337","SPGP_0W00360"
"338","SPGP_0W00510"
"339","SPGP_0W00690"
"340","SPGP_0W00730"
"341","SPGP_0W00950"
"342","SPGP_0W01130"
"343","SPGP_0W01200"
"344","SPGP_0W01260"
"345","SPGP_0W01490"
"346","SPGP_0W01940"
"347","SPGP_0W01970"
"348","SPGP_0W02090"
"349","SPGP_0W02120"
"350","SPGP_0W02130"
"351","SPGP_0W02370"
"352","SPGP_0W02640"
"353","SPGP_0W02690"
"354","SPGP_0W02720"
"355","SPGP_0W02990"
"356","SPGP_0W03340"
"357","SPGP_0W03460"
"358","SPGP_0W03550"
"359","SPGP_0W04290"
"360","SPGP_0W04300"
"361","SPGP_0W04340"
"362","SPGP_0W04360"
"363","SPGP_0W04640"
"364","SPGP_0W04660"
"365","SPGP_0X00200"
"366","SPGP_0X00290"
"367","SPGP_0X00320"
"368","SPGP_0X00680"
"369","SPGP_0Y00140"
"370","SPGP_0Y00180"
"371","SPGP_0Y00250"
"372","SPGP_0Y00620"
"373","SPGP_0Y00750"
"374","SPGP_0Y00830"
"375","SPGP_0Y00990"
