"","x"
"1","SPGP_0CY00100"
"2","SPGP_0CZ00110"
"3","SPGP_0CZ00120"
"4","SPGP_0CZ00320"
"5","SPGP_0CZ00460"
"6","SPGP_0CZ00520"
"7","SPGP_0CZ00590"
"8","SPGP_0CZ00740"
"9","SPGP_0CZ00850"
"10","SPGP_0CZ01110"
"11","SPGP_0CZ01130"
"12","SPGP_0CZ01190"
"13","SPGP_0CZ01240"
"14","SPGP_0CZ01250"
"15","SPGP_0CZ01310"
"16","SPGP_0CZ01580"
"17","SPGP_0CZ01660"
"18","SPGP_0CZ01670"
"19","SPGP_0CZ01990"
"20","SPGP_0CZ02020"
"21","SPGP_0CZ02130"
"22","SPGP_0CZ02150"
"23","SPGP_0CZ02160"
"24","SPGP_0CZ02170"
"25","SPGP_0CZ02190"
"26","SPGP_0CZ02310"
"27","SPGP_0CZ02550"
"28","SPGP_0CZ02980"
"29","SPGP_0CZ03110"
"30","SPGP_0CZ03120"
"31","SPGP_0CZ03130"
"32","SPGP_0DB00390"
"33","SPGP_0DB00400"
"34","SPGP_0DB00420"
"35","SPGP_0DB00450"
"36","SPGP_0DB00950"
"37","SPGP_0DB01040"
"38","SPGP_0DB01260"
"39","SPGP_0DB01410"
"40","SPGP_0DB01510"
"41","SPGP_0DB01890"
"42","SPGP_0DB02120"
"43","SPGP_0DB02270"
"44","SPGP_0DB02490"
"45","SPGP_0DB02530"
"46","SPGP_0DB02800"
"47","SPGP_0DB02950"
"48","SPGP_0DB02970"
"49","SPGP_0DB03240"
"50","SPGP_0DC00160"
"51","SPGP_0DC00450"
"52","SPGP_0DC00560"
"53","SPGP_0DC00780"
"54","SPGP_0DC00800"
"55","SPGP_0DC00810"
"56","SPGP_0DC00960"
"57","SPGP_0DC01110"
"58","SPGP_0DC01180"
"59","SPGP_0DC01270"
"60","SPGP_0DC01370"
"61","SPGP_0DC01490"
"62","SPGP_0DC01530"
"63","SPGP_0DC01560"
"64","SPGP_0DC01570"
"65","SPGP_0DC01620"
"66","SPGP_0DC01790"
"67","SPGP_0DC02080"
"68","SPGP_0DC02370"
"69","SPGP_0DC02490"
"70","SPGP_0DC02920"
"71","SPGP_0DC02980"
"72","SPGP_0DC03450"
"73","SPGP_0DC03510"
"74","SPGP_0DC03750"
"75","SPGP_0DD00420"
"76","SPGP_0DD00510"
"77","SPGP_0DD00810"
"78","SPGP_0DD00900"
"79","SPGP_0DD00910"
"80","SPGP_0DD01040"
"81","SPGP_0DD01130"
"82","SPGP_0DD01150"
"83","SPGP_0DD01230"
"84","SPGP_0DD01240"
"85","SPGP_0DD01450"
"86","SPGP_0DD01590"
"87","SPGP_0DD01700"
"88","SPGP_0DD01890"
"89","SPGP_0DD01900"
"90","SPGP_0DD02030"
"91","SPGP_0DE00110"
"92","SPGP_0DE00170"
"93","SPGP_0DE00320"
"94","SPGP_0DE00600"
"95","SPGP_0DF00100"
"96","SPGP_0DG00100"
"97","SPGP_0DI00100"
"98","SPGP_0DN00390"
"99","SPGP_0DN00410"
"100","SPGP_0DN00730"
"101","SPGP_0DN00840"
"102","SPGP_0DN00860"
"103","SPGP_0DN00870"
"104","SPGP_0DN00950"
"105","SPGP_0DN01020"
"106","SPGP_0DN01030"
"107","SPGP_0DN01090"
"108","SPGP_0DN01220"
"109","SPGP_0DN01760"
"110","SPGP_0DN02030"
"111","SPGP_0DN02140"
"112","SPGP_0DN02540"
"113","SPGP_0DN02550"
"114","SPGP_0DN03080"
"115","SPGP_0DN03090"
"116","SPGP_0DN03110"
"117","SPGP_0DN03290"
"118","SPGP_0DN03410"
"119","SPGP_0DN03440"
"120","SPGP_0DN03500"
"121","SPGP_0DN03530"
"122","SPGP_0DN03730"
"123","SPGP_0DN04080"
"124","SPGP_0K00110"
"125","SPGP_0K00120"
"126","SPGP_0K00130"
"127","SPGP_0K00240"
"128","SPGP_0K00750"
"129","SPGP_0K00850"
"130","SPGP_0K00860"
"131","SPGP_0K01350"
"132","SPGP_0K01360"
"133","SPGP_0K01600"
"134","SPGP_0K01850"
"135","SPGP_0K02290"
"136","SPGP_0K02410"
"137","SPGP_0K02480"
"138","SPGP_0DU00260"
"139","SPGP_0DU00440"
"140","SPGP_0DU00500"
"141","SPGP_0DU00550"
"142","SPGP_0DU00940"
"143","SPGP_0DU01250"
"144","SPGP_0DU01380"
"145","SPGP_0DU01480"
"146","SPGP_0DU01520"
"147","SPGP_0DU01550"
"148","SPGP_0DV00230"
"149","SPGP_0DV00290"
"150","SPGP_0DV00450"
"151","SPGP_0DV00530"
"152","SPGP_0DV00600"
"153","SPGP_0DX00150"
"154","SPGP_0DX00410"
"155","SPGP_0DX00450"
"156","SPGP_0DY00120"
"157","SPGP_0L00280"
"158","SPGP_0L00380"
"159","SPGP_0L00420"
"160","SPGP_0L00440"
"161","SPGP_0L00460"
"162","SPGP_0L00610"
"163","SPGP_0L00630"
"164","SPGP_0L00740"
"165","SPGP_0L00860"
"166","SPGP_0L01000"
"167","SPGP_0L01060"
"168","SPGP_0L01070"
"169","SPGP_0L01140"
"170","SPGP_0L01210"
"171","SPGP_0L01270"
"172","SPGP_0L01430"
"173","SPGP_0L01500"
"174","SPGP_0L01560"
"175","SPGP_0L01580"
"176","SPGP_0DZ00140"
"177","SPGP_0DZ00230"
"178","SPGP_0DZ00250"
"179","SPGP_0DZ00280"
"180","SPGP_0DZ00510"
"181","SPGP_0DZ00540"
"182","SPGP_0DZ00720"
"183","SPGP_0DZ00890"
"184","SPGP_0DZ00900"
"185","SPGP_0DZ01110"
"186","SPGP_0DZ01180"
"187","SPGP_0DZ01330"
"188","SPGP_0DZ01560"
"189","SPGP_0DZ01900"
"190","SPGP_0DZ01990"
"191","SPGP_0DZ02240"
"192","SPGP_0DZ02250"
"193","SPGP_0EE00140"
"194","SPGP_0EE00210"
"195","SPGP_0M00230"
"196","SPGP_0M00560"
"197","SPGP_0M00790"
"198","SPGP_0M00940"
"199","SPGP_0M01140"
"200","SPGP_0M01150"
"201","SPGP_0M01540"
"202","SPGP_0M01790"
"203","SPGP_0M02080"
"204","SPGP_0M02100"
"205","SPGP_0M02130"
"206","SPGP_0M02190"
"207","SPGP_0M02200"
"208","SPGP_0M02400"
"209","SPGP_0M02450"
"210","SPGP_0M02530"
"211","SPGP_0M02710"
"212","SPGP_0M02910"
"213","SPGP_0M02940"
"214","SPGP_0M03000"
"215","SPGP_0M03010"
"216","SPGP_0M03050"
"217","SPGP_0M03170"
"218","SPGP_0M03280"
"219","SPGP_0M03300"
"220","SPGP_0M03310"
"221","SPGP_0M03470"
"222","SPGP_0M03510"
"223","SPGP_0M03800"
"224","SPGP_0N00200"
"225","SPGP_0N00340"
"226","SPGP_0N00390"
"227","SPGP_0N01520"
"228","SPGP_0N01550"
"229","SPGP_0N01620"
"230","SPGP_0N01780"
"231","SPGP_0N01880"
"232","SPGP_0N01990"
"233","SPGP_0N02070"
"234","SPGP_0FI00100"
"235","SPGP_0P00590"
"236","SPGP_0P01150"
"237","SPGP_0P01160"
"238","SPGP_0P01230"
"239","SPGP_0P01280"
"240","SPGP_0P01320"
"241","SPGP_0P01730"
"242","SPGP_0P01750"
"243","SPGP_0P01890"
"244","SPGP_0P01920"
"245","SPGP_0P01960"
"246","SPGP_0P01970"
"247","SPGP_0P02020"
"248","SPGP_0P02340"
"249","SPGP_0P02560"
"250","SPGP_0P02620"
"251","SPGP_0P02640"
"252","SPGP_0P02850"
"253","SPGP_0P02990"
"254","SPGP_0P03020"
"255","SPGP_0P03080"
"256","SPGP_0Q00140"
"257","SPGP_0Q00150"
"258","SPGP_0Q00250"
"259","SPGP_0Q00260"
"260","SPGP_0Q00420"
"261","SPGP_0Q00470"
"262","SPGP_0Q00540"
"263","SPGP_0Q00600"
"264","SPGP_0Q01000"
"265","SPGP_0Q01040"
"266","SPGP_0Q01070"
"267","SPGP_0Q01130"
"268","SPGP_0Q01160"
"269","SPGP_0Q01240"
"270","SPGP_0Q01320"
"271","SPGP_0Q01440"
"272","SPGP_0Q01520"
"273","SPGP_0Q01550"
"274","SPGP_0Q01570"
"275","SPGP_0Q02020"
"276","SPGP_0Q02030"
"277","SPGP_0Q02230"
"278","SPGP_0Q02460"
"279","SPGP_0Q02510"
