"","Condition","Upregulated","Downregulated","Total"
"13aa_vs_13eth","13aa_vs_13eth",314,345,659
"22aa_vs_22eth","22aa_vs_22eth",560,543,1103
"30aa_vs_30eth","30aa_vs_30eth",477,776,1253
