"","x"
"1","SPGP_0CZ01350"
"2","SPGP_0DB02660"
"3","SPGP_0DC01740"
"4","SPGP_0DC02190"
"5","SPGP_0DD00870"
"6","SPGP_0DE00260"
"7","SPGP_0DE00310"
"8","SPGP_0DH00100"
"9","SPGP_0DM00100"
"10","SPGP_0DN01500"
"11","SPGP_0DN03120"
"12","SPGP_0DN03280"
"13","SPGP_0DN03840"
"14","SPGP_0DN04230"
"15","SPGP_0K02810"
"16","SPGP_0DU00760"
"17","SPGP_0DU00930"
"18","SPGP_0DV00660"
"19","SPGP_0DW00110"
"20","SPGP_0L00140"
"21","SPGP_0L00390"
"22","SPGP_0DZ00100"
"23","SPGP_0DZ00310"
"24","SPGP_0DZ00880"
"25","SPGP_0DZ01540"
"26","SPGP_0EA00120"
"27","SPGP_0EG00120"
"28","SPGP_0EH00100"
"29","SPGP_0M00330"
"30","SPGP_0M00820"
"31","SPGP_0M01860"
"32","SPGP_0M01870"
"33","SPGP_0M02540"
"34","SPGP_0M03360"
"35","SPGP_0M03540"
"36","SPGP_0N00410"
"37","SPGP_0N00420"
"38","SPGP_0N00600"
"39","SPGP_0N00610"
"40","SPGP_0N01850"
"41","SPGP_0N02010"
"42","SPGP_0FF00100"
"43","SPGP_0P00290"
"44","SPGP_0P01300"
"45","SPGP_0P02130"
"46","SPGP_0Q00770"
"47","SPGP_0Q00950"
"48","SPGP_0Q02160"
"49","SPGP_0Q03110"
"50","SPGP_0Q03400"
"51","SPGP_0Q04170"
"52","SPGP_0Q04250"
"53","SPGP_0Q04260"
"54","SPGP_0Q04520"
"55","SPGP_0Q04530"
"56","SPGP_0R00380"
"57","SPGP_0R00400"
"58","SPGP_0R01560"
"59","SPGP_0S01790"
"60","SPGP_0S02710"
"61","SPGP_0T00100"
"62","SPGP_0U00140"
"63","SPGP_0U00250"
"64","SPGP_0V00400"
"65","SPGP_0V00480"
"66","SPGP_0V00630"
"67","SPGP_0W01010"
"68","SPGP_0W01560"
"69","SPGP_0W01820"
"70","SPGP_0W03070"
"71","SPGP_0W03080"
"72","SPGP_0W03190"
"73","SPGP_0W04580"
"74","SPGP_0X00340"
"75","SPGP_0X00920"
"76","SPGP_0Y00710"
"77","SPGP_0Z01790"
"78","SPGP_0AC00710"
"79","SPGP_0AC00750"
"80","SPGP_0B00760"
"81","SPGP_0B00770"
"82","SPGP_0B01070"
"83","SPGP_0AE00250"
"84","SPGP_0AE00350"
"85","SPGP_0AG00150"
"86","SPGP_0C00490"
"87","SPGP_0C00670"
"88","SPGP_0C04260"
"89","SPGP_0D00760"
"90","SPGP_0D00900"
"91","SPGP_0BC00250"
"92","SPGP_0E00270"
"93","SPGP_0E00960"
"94","SPGP_0E01320"
"95","SPGP_0E01370"
"96","SPGP_0E01730"
"97","SPGP_0E02110"
"98","SPGP_0F02250"
"99","SPGP_0F03010"
"100","SPGP_0F03070"
"101","SPGP_0F04570"
"102","SPGP_0F04810"
"103","SPGP_0F04830"
"104","SPGP_0G01940"
"105","SPGP_0G01950"
"106","SPGP_0G02460"
"107","SPGP_0H00190"
"108","SPGP_0H00720"
"109","SPGP_0I00160"
"110","SPGP_0I00320"
"111","SPGP_0I00920"
"112","SPGP_0I01390"
"113","SPGP_0I01500"
"114","SPGP_0I02160"
