"","x"
"219","SPGP_0AH00560"
"220","SPGP_0AH00800"
"221","SPGP_0AI00400"
"222","SPGP_0C00130"
"223","SPGP_0C00180"
"224","SPGP_0C00750"
"225","SPGP_0C01810"
"226","SPGP_0C02420"
"227","SPGP_0C02460"
"228","SPGP_0C02790"
"229","SPGP_0C02940"
"230","SPGP_0C04080"
"231","SPGP_0C04740"
"232","SPGP_0C04800"
"233","SPGP_0D00710"
"234","SPGP_0D00720"
"235","SPGP_0BF00140"
"236","SPGP_0E00280"
"237","SPGP_0E00300"
"238","SPGP_0E00410"
"239","SPGP_0E00520"
"240","SPGP_0E00530"
"241","SPGP_0E00680"
"242","SPGP_0E00740"
"243","SPGP_0E00750"
"244","SPGP_0E00840"
"245","SPGP_0E01410"
"246","SPGP_0E01420"
"247","SPGP_0E02040"
"248","SPGP_0E02120"
"249","SPGP_0E02230"
"250","SPGP_0F00100"
"251","SPGP_0F00160"
"252","SPGP_0F00460"
"253","SPGP_0F00740"
"254","SPGP_0F00850"
"255","SPGP_0F00860"
"256","SPGP_0F01150"
"257","SPGP_0F01350"
"258","SPGP_0F01420"
"259","SPGP_0F01580"
"260","SPGP_0F01640"
"261","SPGP_0F01720"
"262","SPGP_0F01840"
"263","SPGP_0F02130"
"264","SPGP_0F02460"
"265","SPGP_0F03060"
"266","SPGP_0F03390"
"267","SPGP_0F04100"
"268","SPGP_0F04380"
"269","SPGP_0F04500"
"270","SPGP_0F04950"
"271","SPGP_0F05000"
"272","SPGP_0G00470"
"273","SPGP_0G00810"
"274","SPGP_0G00980"
"275","SPGP_0G01180"
"276","SPGP_0G01970"
"277","SPGP_0G01980"
"278","SPGP_0G02000"
"279","SPGP_0G02400"
"280","SPGP_0G02690"
"281","SPGP_0G03220"
"282","SPGP_0G03260"
"283","SPGP_0H00870"
"284","SPGP_0I00230"
"285","SPGP_0I00560"
"286","SPGP_0I00650"
"287","SPGP_0I00810"
"288","SPGP_0I01410"
"289","SPGP_0I01470"
"290","SPGP_0I01580"
"291","SPGP_0I01790"
"292","SPGP_0I02100"
"293","SPGP_0I02250"
"294","SPGP_0I02260"
"295","SPGP_0I02440"
"296","SPGP_0I02670"
