"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPGP_0CY00100",317.438355173467,1.0310369936547,0.218128728866235,4.72673635890928,2.28157182894151e-06,1.32687257842974e-05
"SPGP_0CZ00110",146.398758446684,1.08086469641049,0.195675365686861,5.52376479592325,3.31811592334201e-08,2.54251320461057e-07
"SPGP_0CZ00120",88.1083967142087,1.34028560291528,0.314415253457692,4.26278810641618,2.01891944332229e-05,9.6667536661872e-05
"SPGP_0CZ00130",6961.13302566837,1.02871740304043,0.239176950773068,4.30107248928214,1.69973440893397e-05,8.27132473562866e-05
"SPGP_0CZ00200",3542.2029418973,1.0418163959311,0.143203927717513,7.27505461991383,3.46280315309885e-13,5.22018987565848e-12
"SPGP_0CZ00320",19.933338103248,-1.37012600908906,0.420273678556513,-3.2600804642226,0.00111380610543517,0.00372729512895428
"SPGP_0CZ00340",383.360256052976,-1.58030042338971,0.168526204165169,-9.37717924175689,6.77612482309889e-21,1.95072179097373e-19
"SPGP_0CZ00410",1246.2622306276,-2.00340266981126,0.167006373864386,-11.9959653242821,3.73042429407515e-33,2.49803267402525e-31
"SPGP_0CZ00460",16766.0210957205,-1.12709513053497,0.116041382007137,-9.71287234812185,2.6574081590191e-22,8.46796855086051e-21
"SPGP_0CZ00520",1258.60032768781,1.10946856244468,0.141873595928028,7.82012012303904,5.27729535465473e-15,9.50633262619187e-14
"SPGP_0CZ00590",1490.36704491708,1.72633101580619,0.18223212958901,9.4732527118001,2.71262391995563e-21,8.0344095013814e-20
"SPGP_0CZ00640",79.2492134728049,1.51796998502631,0.26766229003547,5.67121347136779,1.4178958730357e-08,1.16159359598608e-07
"SPGP_0CZ00730",350.67506938816,-1.46666257009818,0.13495104344314,-10.8681084093739,1.63556638011209e-27,7.55713445930793e-26
"SPGP_0CZ00740",95190.0488969708,2.11361826298073,0.15401384695055,13.7235599579521,7.33724675528738e-43,9.04046630208142e-41
"SPGP_0CZ00850",1669.39643932046,1.04826658103892,0.0948605359628961,11.0506078254601,2.17735636795999e-28,1.04796615605824e-26
"SPGP_0CZ01110",3918.82015232422,1.02248704956636,0.13287789683938,7.69493703533191,1.41563868541999e-14,2.48705648136238e-13
"SPGP_0CZ01130",629.898257353516,-1.05563814148295,0.181561531395423,-5.81421699503007,6.09183505004883e-09,5.31583075519369e-08
"SPGP_0CZ01190",31.6942279920535,-1.30707652123455,0.359756679600033,-3.63322377415679,0.000279902069598324,0.00107060224551246
"SPGP_0CZ01240",2682.6853901978,-1.70379596308204,0.191296350360688,-8.90657850957191,5.26316957492448e-19,1.35478969475981e-17
"SPGP_0CZ01250",5447.47374112268,-1.59209529858527,0.168098493518845,-9.47120503734191,2.76633696589699e-21,8.16732265234955e-20
"SPGP_0CZ01310",22.4386264665388,-1.97272463387733,0.356826654992385,-5.5285237419257,3.22936727129362e-08,2.47861984667976e-07
"SPGP_0CZ01350",1114.36632126968,-1.00241312711303,0.156556352483021,-6.40289014923075,1.52462892459942e-10,1.65754069320274e-09
"SPGP_0CZ01470",1472.30763316216,-1.52281635947505,0.129996012729852,-11.7143312898346,1.07637154747555e-31,6.76649623824594e-30
"SPGP_0CZ01540",47.2482885523783,-1.1832713745322,0.21936965995118,-5.39396092784907,6.8921211229075e-08,5.0587840585217e-07
"SPGP_0CZ01580",207472.827611357,1.55778871080338,0.137221419491196,11.3523728043297,7.21769893771079e-30,3.9701640406777e-28
"SPGP_0CZ01660",64.3105367311955,-1.1765707397848,0.229024792627345,-5.13730730322825,2.78703007052849e-07,1.85688139017691e-06
"SPGP_0CZ01670",617.570484281822,-1.10296874645843,0.149927697308763,-7.35667102381334,1.88553264301248e-13,2.96834874856531e-12
"SPGP_0CZ01850",77.2692706758671,-2.18018561648782,0.251456979629691,-8.67021317005587,4.31312136190186e-18,1.02198857705987e-16
