"","Condition","Upregulated","Downregulated","Total"
"13aa_vs_13wort","13aa_vs_13wort",426,831,1257
"22aa_vs_22wort","22aa_vs_22wort",1215,1045,2260
"30aa_vs_30wort","30aa_vs_30wort",832,604,1436
