"","x"
"1","SPGP_0CZ00130"
"2","SPGP_0CZ00570"
"3","SPGP_0CZ00670"
"4","SPGP_0CZ01870"
"5","SPGP_0CZ02140"
"6","SPGP_0CZ02290"
"7","SPGP_0CZ02360"
"8","SPGP_0CZ02930"
"9","SPGP_0CZ03130"
"10","SPGP_0DB00130"
"11","SPGP_0DB01830"
"12","SPGP_0DB01840"
"13","SPGP_0DB01920"
"14","SPGP_0DB01930"
"15","SPGP_0DB02000"
"16","SPGP_0DB02390"
"17","SPGP_0DB02480"
"18","SPGP_0DB02890"
"19","SPGP_0DB03130"
"20","SPGP_0DC00570"
"21","SPGP_0DC00820"
"22","SPGP_0DC00950"
"23","SPGP_0DC01540"
"24","SPGP_0DC01600"
"25","SPGP_0DC02750"
"26","SPGP_0DC03420"
"27","SPGP_0DD00420"
"28","SPGP_0DD01860"
"29","SPGP_0DD01980"
"30","SPGP_0DE00270"
"31","SPGP_0DE00300"
"32","SPGP_0DE00830"
"33","SPGP_0DE00840"
"34","SPGP_0DK00100"
"35","SPGP_0DN00880"
"36","SPGP_0DN01130"
"37","SPGP_0DN01140"
"38","SPGP_0DN01300"
"39","SPGP_0DN01690"
"40","SPGP_0DN01720"
"41","SPGP_0DN02350"
"42","SPGP_0DN02520"
"43","SPGP_0DN02890"
"44","SPGP_0DN03650"
"45","SPGP_0DN03690"
"46","SPGP_0DN03960"
"47","SPGP_0DN03990"
"48","SPGP_0K00840"
"49","SPGP_0K01480"
"50","SPGP_0K01600"
"51","SPGP_0K01990"
"52","SPGP_0K02810"
"53","SPGP_0DQ00100"
"54","SPGP_0DU00290"
"55","SPGP_0DU00320"
"56","SPGP_0DU00420"
"57","SPGP_0DU00570"
"58","SPGP_0DU00680"
"59","SPGP_0DU00760"
"60","SPGP_0DU00780"
"61","SPGP_0DU00820"
"62","SPGP_0DU01550"
"63","SPGP_0DU01740"
"64","SPGP_0DV00560"
"65","SPGP_0DV00600"
"66","SPGP_0DV00610"
"67","SPGP_0DX00120"
"68","SPGP_0DX00230"
"69","SPGP_0DX00430"
"70","SPGP_0L00140"
"71","SPGP_0L00340"
"72","SPGP_0L00820"
"73","SPGP_0L00960"
"74","SPGP_0L01120"
"75","SPGP_0L01130"
"76","SPGP_0L01300"
"77","SPGP_0DZ00920"
"78","SPGP_0DZ01350"
"79","SPGP_0DZ01430"
"80","SPGP_0EE00130"
"81","SPGP_0M01010"
"82","SPGP_0M01480"
"83","SPGP_0M01980"
"84","SPGP_0M03740"
"85","SPGP_0N00310"
"86","SPGP_0N00720"
"87","SPGP_0N00730"
"88","SPGP_0N00940"
"89","SPGP_0N01490"
"90","SPGP_0N02000"
"91","SPGP_0N02220"
"92","SPGP_0FF00100"
"93","SPGP_0P00270"
"94","SPGP_0P00290"
"95","SPGP_0P00780"
"96","SPGP_0P00860"
"97","SPGP_0P00900"
"98","SPGP_0P01380"
"99","SPGP_0P01910"
"100","SPGP_0P01930"
"101","SPGP_0P02310"
"102","SPGP_0P02400"
"103","SPGP_0P02670"
"104","SPGP_0FT00110"
"105","SPGP_0Q00140"
"106","SPGP_0Q00550"
"107","SPGP_0Q01350"
"108","SPGP_0Q01430"
"109","SPGP_0Q01930"
"110","SPGP_0Q02470"
"111","SPGP_0Q02940"
"112","SPGP_0Q03410"
"113","SPGP_0Q03560"
"114","SPGP_0Q03660"
"115","SPGP_0Q04370"
"116","SPGP_0Q04450"
"117","SPGP_0Q04530"
"118","SPGP_0Q04660"
"119","SPGP_0Q04800"
"120","SPGP_0R00830"
"121","SPGP_0R01000"
"122","SPGP_0R01060"
"123","SPGP_0R01140"
"124","SPGP_0R01550"
"125","SPGP_0R01570"
"126","SPGP_0R01600"
"127","SPGP_0R02040"
"128","SPGP_0R02160"
"129","SPGP_0R02380"
"130","SPGP_0R02810"
"131","SPGP_0R02820"
"132","SPGP_0R02850"
"133","SPGP_0S00490"
"134","SPGP_0S00890"
"135","SPGP_0S01050"
"136","SPGP_0S01420"
"137","SPGP_0S01780"
"138","SPGP_0S01790"
"139","SPGP_0S01850"
"140","SPGP_0S02020"
"141","SPGP_0S02120"
"142","SPGP_0S02760"
"143","SPGP_0S02900"
"144","SPGP_0S02920"
"145","SPGP_0S03180"
"146","SPGP_0S03290"
"147","SPGP_0U00200"
"148","SPGP_0U00490"
"149","SPGP_0U00810"
"150","SPGP_0U01040"
"151","SPGP_0U01130"
"152","SPGP_0U01720"
"153","SPGP_0U02070"
"154","SPGP_0U02080"
"155","SPGP_0V00290"
"156","SPGP_0V01490"
"157","SPGP_0V01910"
"158","SPGP_0W00110"
"159","SPGP_0W00670"
"160","SPGP_0W00770"
"161","SPGP_0W00920"
"162","SPGP_0W01010"
"163","SPGP_0W02560"
"164","SPGP_0W03050"
"165","SPGP_0W04080"
"166","SPGP_0W04880"
"167","SPGP_0X00190"
"168","SPGP_0X01080"
"169","SPGP_0Y00190"
"170","SPGP_0Y00420"
"171","SPGP_0Y00610"
"172","SPGP_0Y00620"
"173","SPGP_0Z00170"
"174","SPGP_0Z00190"
"175","SPGP_0Z00320"
"176","SPGP_0Z00750"
"177","SPGP_0Z01930"
"178","SPGP_0Z02020"
"179","SPGP_0Z02710"
"180","SPGP_0Z03070"
"181","SPGP_0AC00430"
"182","SPGP_0AC00460"
"183","SPGP_0AC00580"
"184","SPGP_0AC00660"
"185","SPGP_0B00120"
"186","SPGP_0B00940"
"187","SPGP_0B01080"
"188","SPGP_0B01580"
"189","SPGP_0B01950"
"190","SPGP_0AE00860"
"191","SPGP_0AG00140"
"192","SPGP_0AG00150"
"193","SPGP_0AH00560"
"194","SPGP_0AH00790"
"195","SPGP_0AH00800"
"196","SPGP_0AH00930"
"197","SPGP_0AH00990"
"198","SPGP_0AH01180"
"199","SPGP_0AI00170"
"200","SPGP_0C00180"
"201","SPGP_0C00450"
"202","SPGP_0C00460"
"203","SPGP_0C02130"
"204","SPGP_0C02470"
"205","SPGP_0C02810"
"206","SPGP_0C04100"
"207","SPGP_0C04510"
"208","SPGP_0C04630"
"209","SPGP_0C05100"
"210","SPGP_0C05210"
"211","SPGP_0D00470"
"212","SPGP_0D00730"
"213","SPGP_0E00520"
"214","SPGP_0E00530"
"215","SPGP_0E01220"
"216","SPGP_0E01330"
"217","SPGP_0E01520"
"218","SPGP_0E01530"
"219","SPGP_0E01730"
"220","SPGP_0E02110"
