"","x"
"1","SPGP_0CW00100"
"2","SPGP_0CZ00250"
"3","SPGP_0CZ00320"
"4","SPGP_0CZ00370"
"5","SPGP_0CZ00380"
"6","SPGP_0CZ00460"
"7","SPGP_0CZ00470"
"8","SPGP_0CZ00480"
"9","SPGP_0CZ00510"
"10","SPGP_0CZ00560"
"11","SPGP_0CZ00650"
"12","SPGP_0CZ00660"
"13","SPGP_0CZ00690"
"14","SPGP_0CZ00700"
"15","SPGP_0CZ00820"
"16","SPGP_0CZ00830"
"17","SPGP_0CZ00950"
"18","SPGP_0CZ00990"
"19","SPGP_0CZ01090"
"20","SPGP_0CZ01220"
"21","SPGP_0CZ01240"
"22","SPGP_0CZ01250"
"23","SPGP_0CZ01290"
"24","SPGP_0CZ01350"
"25","SPGP_0CZ01400"
"26","SPGP_0CZ01470"
"27","SPGP_0CZ01480"
"28","SPGP_0CZ01550"
"29","SPGP_0CZ01590"
"30","SPGP_0CZ01790"
"31","SPGP_0CZ01800"
"32","SPGP_0CZ01810"
"33","SPGP_0CZ02210"
"34","SPGP_0CZ02220"
"35","SPGP_0CZ02280"
"36","SPGP_0CZ02300"
"37","SPGP_0CZ02530"
"38","SPGP_0CZ02540"
"39","SPGP_0CZ02570"
"40","SPGP_0DB00110"
"41","SPGP_0DB00160"
"42","SPGP_0DB00200"
"43","SPGP_0DB00250"
"44","SPGP_0DB00290"
"45","SPGP_0DB00360"
"46","SPGP_0DB00370"
"47","SPGP_0DB00420"
"48","SPGP_0DB00490"
"49","SPGP_0DB00520"
"50","SPGP_0DB00530"
"51","SPGP_0DB00560"
"52","SPGP_0DB00570"
"53","SPGP_0DB00580"
"54","SPGP_0DB00660"
"55","SPGP_0DB00690"
"56","SPGP_0DB00780"
"57","SPGP_0DB00800"
"58","SPGP_0DB01270"
"59","SPGP_0DB01280"
"60","SPGP_0DB01320"
"61","SPGP_0DB01400"
"62","SPGP_0DB01430"
"63","SPGP_0DB01470"
"64","SPGP_0DB01490"
"65","SPGP_0DB01550"
"66","SPGP_0DB01560"
"67","SPGP_0DB01620"
"68","SPGP_0DB01630"
"69","SPGP_0DB01690"
"70","SPGP_0DB01810"
"71","SPGP_0DB02100"
"72","SPGP_0DB02140"
"73","SPGP_0DB02410"
"74","SPGP_0DB02490"
"75","SPGP_0DB02680"
"76","SPGP_0DB02730"
"77","SPGP_0DB02820"
"78","SPGP_0DB02860"
"79","SPGP_0DB02900"
"80","SPGP_0DB03370"
"81","SPGP_0DB03390"
"82","SPGP_0DB03400"
"83","SPGP_0DB03470"
"84","SPGP_0DC00110"
"85","SPGP_0DC00140"
"86","SPGP_0DC00150"
"87","SPGP_0DC00340"
"88","SPGP_0DC00350"
"89","SPGP_0DC00360"
"90","SPGP_0DC00390"
"91","SPGP_0DC00420"
"92","SPGP_0DC00430"
"93","SPGP_0DC00530"
"94","SPGP_0DC00560"
"95","SPGP_0DC00600"
"96","SPGP_0DC00730"
"97","SPGP_0DC01070"
"98","SPGP_0DC01090"
"99","SPGP_0DC01170"
"100","SPGP_0DC01180"
"101","SPGP_0DC01190"
"102","SPGP_0DC01250"
"103","SPGP_0DC01260"
"104","SPGP_0DC01450"
"105","SPGP_0DC01480"
"106","SPGP_0DC01530"
"107","SPGP_0DC01590"
"108","SPGP_0DC01690"
"109","SPGP_0DC01710"
"110","SPGP_0DC02100"
"111","SPGP_0DC02220"
"112","SPGP_0DC02400"
"113","SPGP_0DC02410"
"114","SPGP_0DC02470"
"115","SPGP_0DC02480"
"116","SPGP_0DC02810"
"117","SPGP_0DC02870"
"118","SPGP_0DC02890"
"119","SPGP_0DC03010"
"120","SPGP_0DC03270"
"121","SPGP_0DD00200"
"122","SPGP_0DD00210"
"123","SPGP_0DD00250"
"124","SPGP_0DD00280"
"125","SPGP_0DD00450"
"126","SPGP_0DD00510"
"127","SPGP_0DD00740"
"128","SPGP_0DD00820"
"129","SPGP_0DD00920"
"130","SPGP_0DD00930"
"131","SPGP_0DD01120"
"132","SPGP_0DD01210"
"133","SPGP_0DD01230"
"134","SPGP_0DD01300"
"135","SPGP_0DD01360"
"136","SPGP_0DD01380"
"137","SPGP_0DD01450"
"138","SPGP_0DD01560"
"139","SPGP_0DD01610"
"140","SPGP_0DD01930"
"141","SPGP_0DE00140"
"142","SPGP_0DE00150"
"143","SPGP_0DE00160"
"144","SPGP_0DE00190"
"145","SPGP_0DE00210"
"146","SPGP_0DE00340"
"147","SPGP_0DE00420"
"148","SPGP_0DE00430"
"149","SPGP_0DE00440"
"150","SPGP_0DE00460"
"151","SPGP_0DE00670"
"152","SPGP_0DE00700"
"153","SPGP_0DE00720"
"154","SPGP_0DE00750"
"155","SPGP_0DN00150"
"156","SPGP_0DN00180"
"157","SPGP_0DN00200"
"158","SPGP_0DN00980"
"159","SPGP_0DN01020"
"160","SPGP_0DN01110"
"161","SPGP_0DN01250"
"162","SPGP_0DN01320"
"163","SPGP_0DN01400"
"164","SPGP_0DN01520"
"165","SPGP_0DN01540"
"166","SPGP_0DN01620"
"167","SPGP_0DN01730"
"168","SPGP_0DN01850"
"169","SPGP_0DN01860"
"170","SPGP_0DN01910"
"171","SPGP_0DN01980"
"172","SPGP_0DN02030"
"173","SPGP_0DN02110"
"174","SPGP_0DN02310"
"175","SPGP_0DN02420"
"176","SPGP_0DN02430"
"177","SPGP_0DN02440"
"178","SPGP_0DN02450"
"179","SPGP_0DN02510"
"180","SPGP_0DN02730"
"181","SPGP_0DN03080"
"182","SPGP_0DN03100"
"183","SPGP_0DN03110"
"184","SPGP_0DN03230"
"185","SPGP_0DN03430"
"186","SPGP_0DN03530"
"187","SPGP_0DN03620"
"188","SPGP_0DN03760"
"189","SPGP_0DN03800"
"190","SPGP_0DN03860"
"191","SPGP_0DN04040"
"192","SPGP_0DN04050"
"193","SPGP_0DN04180"
"194","SPGP_0DN04240"
"195","SPGP_0K00130"
"196","SPGP_0K00240"
"197","SPGP_0K00270"
"198","SPGP_0K00300"
"199","SPGP_0K00420"
"200","SPGP_0K00450"
"201","SPGP_0K00470"
"202","SPGP_0K00520"
"203","SPGP_0K00530"
"204","SPGP_0K00770"
"205","SPGP_0K00860"
"206","SPGP_0K00940"
"207","SPGP_0K00990"
"208","SPGP_0K01260"
"209","SPGP_0K01300"
"210","SPGP_0K01400"
"211","SPGP_0K01440"
"212","SPGP_0K01460"
"213","SPGP_0K01510"
"214","SPGP_0K01570"
"215","SPGP_0K01670"
"216","SPGP_0K01720"
"217","SPGP_0K01760"
"218","SPGP_0K01770"
"219","SPGP_0K02110"
"220","SPGP_0K02120"
"221","SPGP_0K02160"
"222","SPGP_0K02170"
"223","SPGP_0K02190"
"224","SPGP_0K02210"
"225","SPGP_0K02470"
"226","SPGP_0K02480"
"227","SPGP_0K02550"
"228","SPGP_0K02590"
"229","SPGP_0K02680"
"230","SPGP_0K02700"
"231","SPGP_0K02730"
"232","SPGP_0K02740"
"233","SPGP_0DP00100"
"234","SPGP_0DS00100"
"235","SPGP_0DT00100"
"236","SPGP_0DU00150"
"237","SPGP_0DU00190"
"238","SPGP_0DU00360"
"239","SPGP_0DU00370"
"240","SPGP_0DU00440"
"241","SPGP_0DU00530"
"242","SPGP_0DU00550"
"243","SPGP_0DU00560"
"244","SPGP_0DU00810"
"245","SPGP_0DU00830"
"246","SPGP_0DU01030"
"247","SPGP_0DU01210"
"248","SPGP_0DU01230"
"249","SPGP_0DU01330"
"250","SPGP_0DU01420"
"251","SPGP_0DU01450"
"252","SPGP_0DU01500"
"253","SPGP_0DU01570"
"254","SPGP_0DU01680"
"255","SPGP_0DV00180"
"256","SPGP_0DV00220"
"257","SPGP_0DV00310"
"258","SPGP_0DV00460"
"259","SPGP_0DV00620"
"260","SPGP_0DW00100"
"261","SPGP_0DX00290"
"262","SPGP_0DX00300"
"263","SPGP_0DX00500"
"264","SPGP_0DX00530"
"265","SPGP_0DX00580"
"266","SPGP_0DX00600"
"267","SPGP_0DX00620"
"268","SPGP_0DX00630"
"269","SPGP_0DY00100"
"270","SPGP_0DY00110"
"271","SPGP_0L00120"
"272","SPGP_0L00130"
"273","SPGP_0L00250"
"274","SPGP_0L00260"
"275","SPGP_0L00330"
"276","SPGP_0L00370"
"277","SPGP_0L00510"
"278","SPGP_0L00560"
"279","SPGP_0L00590"
"280","SPGP_0L00710"
"281","SPGP_0L00740"
"282","SPGP_0L00800"
"283","SPGP_0L00810"
"284","SPGP_0L00910"
"285","SPGP_0L00920"
"286","SPGP_0L01060"
"287","SPGP_0L01110"
"288","SPGP_0L01140"
"289","SPGP_0L01180"
"290","SPGP_0L01280"
"291","SPGP_0L01290"
"292","SPGP_0L01390"
"293","SPGP_0L01400"
"294","SPGP_0L01550"
"295","SPGP_0L01620"
"296","SPGP_0DZ00100"
"297","SPGP_0DZ00190"
"298","SPGP_0DZ00220"
"299","SPGP_0DZ00280"
"300","SPGP_0DZ00330"
"301","SPGP_0DZ00630"
"302","SPGP_0DZ00700"
"303","SPGP_0DZ00730"
"304","SPGP_0DZ00830"
"305","SPGP_0DZ00930"
"306","SPGP_0DZ00940"
"307","SPGP_0DZ00950"
"308","SPGP_0DZ00990"
"309","SPGP_0DZ01080"
"310","SPGP_0DZ01110"
"311","SPGP_0DZ01160"
"312","SPGP_0DZ01200"
"313","SPGP_0DZ01240"
"314","SPGP_0DZ01310"
"315","SPGP_0DZ01520"
"316","SPGP_0DZ01570"
"317","SPGP_0DZ01650"
"318","SPGP_0DZ01720"
"319","SPGP_0DZ01950"
"320","SPGP_0DZ02090"
"321","SPGP_0DZ02140"
"322","SPGP_0DZ02260"
"323","SPGP_0DZ02340"
"324","SPGP_0DZ02350"
"325","SPGP_0DZ02360"
"326","SPGP_0DZ02370"
"327","SPGP_0ED00100"
"328","SPGP_0ED00110"
"329","SPGP_0EE00100"
"330","SPGP_0EE00120"
"331","SPGP_0EE00200"
"332","SPGP_0EE00210"
"333","SPGP_0EG00140"
"334","SPGP_0EG00150"
"335","SPGP_0EG00160"
"336","SPGP_0M00140"
"337","SPGP_0M00250"
"338","SPGP_0M00280"
"339","SPGP_0M00310"
"340","SPGP_0M00340"
"341","SPGP_0M00370"
"342","SPGP_0M00400"
"343","SPGP_0M00440"
"344","SPGP_0M00460"
"345","SPGP_0M00550"
"346","SPGP_0M00580"
"347","SPGP_0M00770"
"348","SPGP_0M00800"
"349","SPGP_0M00840"
"350","SPGP_0M00890"
"351","SPGP_0M01110"
"352","SPGP_0M01220"
"353","SPGP_0M01260"
"354","SPGP_0M01390"
"355","SPGP_0M01440"
"356","SPGP_0M01820"
"357","SPGP_0M01900"
"358","SPGP_0M02020"
"359","SPGP_0M02260"
"360","SPGP_0M02440"
"361","SPGP_0M02450"
"362","SPGP_0M02560"
"363","SPGP_0M02570"
"364","SPGP_0M02650"
"365","SPGP_0M02660"
"366","SPGP_0M02790"
"367","SPGP_0M02910"
"368","SPGP_0M02960"
"369","SPGP_0M03110"
"370","SPGP_0M03160"
"371","SPGP_0M03170"
"372","SPGP_0M03190"
"373","SPGP_0M03460"
"374","SPGP_0M03490"
"375","SPGP_0M03560"
"376","SPGP_0M03570"
"377","SPGP_0M03630"
"378","SPGP_0EL00100"
"379","SPGP_0EL00110"
"380","SPGP_0EP00120"
"381","SPGP_0N00120"
"382","SPGP_0N00130"
"383","SPGP_0N00160"
"384","SPGP_0N00460"
"385","SPGP_0N00520"
"386","SPGP_0N00630"
"387","SPGP_0N01210"
"388","SPGP_0N01300"
"389","SPGP_0N01520"
"390","SPGP_0N01570"
"391","SPGP_0N01620"
"392","SPGP_0N01970"
"393","SPGP_0N02050"
"394","SPGP_0N02070"
"395","SPGP_0N02110"
"396","SPGP_0N02250"
"397","SPGP_0ET00110"
"398","SPGP_0ET00120"
"399","SPGP_0EX00130"
"400","SPGP_0EX00220"
"401","SPGP_0EX00260"
"402","SPGP_0FH00100"
"403","SPGP_0P00390"
"404","SPGP_0P00510"
"405","SPGP_0P00560"
"406","SPGP_0P00630"
"407","SPGP_0P00790"
"408","SPGP_0P00800"
"409","SPGP_0P00850"
"410","SPGP_0P00870"
"411","SPGP_0P00940"
"412","SPGP_0P00970"
"413","SPGP_0P00990"
"414","SPGP_0P01040"
"415","SPGP_0P01120"
"416","SPGP_0P01250"
"417","SPGP_0P01440"
"418","SPGP_0P01450"
"419","SPGP_0P01470"
"420","SPGP_0P01550"
"421","SPGP_0P01580"
"422","SPGP_0P01720"
"423","SPGP_0P01740"
