"","x"
"215","SPGP_0P01960"
"216","SPGP_0P02080"
"217","SPGP_0P02110"
"218","SPGP_0P02160"
"219","SPGP_0P02260"
"220","SPGP_0P02530"
"221","SPGP_0P02570"
"222","SPGP_0P02860"
"223","SPGP_0P02890"
"224","SPGP_0P02920"
"225","SPGP_0P02930"
"226","SPGP_0P02980"
"227","SPGP_0P03170"
"228","SPGP_0Q00100"
"229","SPGP_0Q00130"
"230","SPGP_0Q00170"
"231","SPGP_0Q00180"
"232","SPGP_0Q00350"
"233","SPGP_0Q00480"
"234","SPGP_0Q00520"
"235","SPGP_0Q00840"
"236","SPGP_0Q00940"
"237","SPGP_0Q01020"
"238","SPGP_0Q01440"
"239","SPGP_0Q01510"
"240","SPGP_0Q01550"
"241","SPGP_0Q01610"
"242","SPGP_0Q01660"
"243","SPGP_0Q01770"
"244","SPGP_0Q01900"
"245","SPGP_0Q02090"
"246","SPGP_0Q02290"
"247","SPGP_0Q02440"
"248","SPGP_0Q02730"
"249","SPGP_0Q02770"
"250","SPGP_0Q02890"
"251","SPGP_0Q02920"
"252","SPGP_0Q03100"
"253","SPGP_0Q03110"
"254","SPGP_0Q03130"
"255","SPGP_0Q03170"
"256","SPGP_0Q03600"
"257","SPGP_0Q03670"
"258","SPGP_0Q03720"
"259","SPGP_0Q03760"
"260","SPGP_0Q03770"
"261","SPGP_0Q03800"
"262","SPGP_0Q03910"
"263","SPGP_0Q03940"
"264","SPGP_0Q04000"
"265","SPGP_0Q04270"
"266","SPGP_0Q04480"
"267","SPGP_0Q04940"
"268","SPGP_0Q04960"
"269","SPGP_0R00520"
"270","SPGP_0R00740"
"271","SPGP_0R00780"
"272","SPGP_0R00970"
"273","SPGP_0R01070"
"274","SPGP_0R01240"
"275","SPGP_0R01670"
"276","SPGP_0R01720"
"277","SPGP_0R01740"
"278","SPGP_0R02080"
"279","SPGP_0R02790"
"280","SPGP_0R02800"
"281","SPGP_0R02840"
"282","SPGP_0R02940"
"283","SPGP_0R03180"
"284","SPGP_0R03190"
"285","SPGP_0R03290"
"286","SPGP_0R03300"
"287","SPGP_0S00100"
"288","SPGP_0S00230"
"289","SPGP_0S00270"
"290","SPGP_0S00330"
"291","SPGP_0S00430"
"292","SPGP_0S00560"
"293","SPGP_0S00960"
"294","SPGP_0S00990"
"295","SPGP_0S01140"
"296","SPGP_0S01190"
"297","SPGP_0S01250"
"298","SPGP_0S01260"
"299","SPGP_0S01270"
"300","SPGP_0S01400"
"301","SPGP_0S01570"
"302","SPGP_0S01830"
"303","SPGP_0S01960"
"304","SPGP_0S02040"
"305","SPGP_0S02070"
"306","SPGP_0S02090"
"307","SPGP_0S02440"
"308","SPGP_0S02530"
"309","SPGP_0S02650"
"310","SPGP_0S02740"
"311","SPGP_0S02870"
"312","SPGP_0S03010"
"313","SPGP_0S03160"
"314","SPGP_0S03200"
"315","SPGP_0S03240"
"316","SPGP_0S03270"
"317","SPGP_0S03460"
"318","SPGP_0T00190"
"319","SPGP_0T00360"
"320","SPGP_0U00630"
"321","SPGP_0U00730"
"322","SPGP_0U01000"
"323","SPGP_0U01070"
"324","SPGP_0U01200"
"325","SPGP_0U01370"
"326","SPGP_0U01550"
"327","SPGP_0U01660"
"328","SPGP_0U01890"
"329","SPGP_0U02030"
"330","SPGP_0U02040"
"331","SPGP_0U02110"
"332","SPGP_0U02160"
"333","SPGP_0V00100"
"334","SPGP_0V00110"
"335","SPGP_0V00130"
"336","SPGP_0V00310"
"337","SPGP_0V00390"
"338","SPGP_0V00770"
"339","SPGP_0V01130"
"340","SPGP_0V01370"
"341","SPGP_0V01930"
"342","SPGP_0V02050"
"343","SPGP_0W00530"
"344","SPGP_0W00540"
"345","SPGP_0W00600"
"346","SPGP_0W01100"
"347","SPGP_0W01150"
"348","SPGP_0W01330"
"349","SPGP_0W01340"
"350","SPGP_0W01350"
"351","SPGP_0W01550"
"352","SPGP_0W01810"
"353","SPGP_0W01830"
"354","SPGP_0W01980"
"355","SPGP_0W02050"
"356","SPGP_0W02150"
"357","SPGP_0W02430"
"358","SPGP_0W02510"
"359","SPGP_0W02780"
"360","SPGP_0W02790"
"361","SPGP_0W02950"
"362","SPGP_0W03240"
"363","SPGP_0W03370"
"364","SPGP_0W03410"
"365","SPGP_0W03430"
"366","SPGP_0W03670"
"367","SPGP_0W03910"
"368","SPGP_0W03950"
"369","SPGP_0W04110"
"370","SPGP_0W04140"
"371","SPGP_0W04240"
"372","SPGP_0W04380"
"373","SPGP_0W04470"
"374","SPGP_0W04580"
"375","SPGP_0W04830"
"376","SPGP_0X00710"
"377","SPGP_0Y00130"
"378","SPGP_0Y00430"
"379","SPGP_0Y00450"
"380","SPGP_0Y00650"
"381","SPGP_0Y00710"
"382","SPGP_0Y01000"
"383","SPGP_0Y01020"
"384","SPGP_0Y01160"
"385","SPGP_0Y01170"
"386","SPGP_0Y01250"
"387","SPGP_0Y01310"
"388","SPGP_0Y01550"
"389","SPGP_0Y01750"
"390","SPGP_0Y01790"
"391","SPGP_0Y01820"
"392","SPGP_0Z00130"
"393","SPGP_0Z00160"
"394","SPGP_0Z00670"
