"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPGP_0CZ00100",620.452633215157,-1.15054107615445,0.317828842375783,-3.62000209784017,0.000294600627308015,0.00118809511559854
"SPGP_0CZ00110",146.398758446684,-1.16785614977135,0.223169167471638,-5.23305330661221,1.66732629197674e-07,1.26620774162945e-06
"SPGP_0CZ00130",6961.13302566837,-2.45807845998955,0.240418204137683,-10.2241777772446,1.54533755323756e-24,6.86177179889106e-23
"SPGP_0CZ00140",11208.0048160465,-2.51762974743142,0.307446738413506,-8.1888321873992,2.63773017357701e-16,5.993776945337e-15
"SPGP_0CZ00340",383.360256052976,1.32397027456314,0.180078284313466,7.35219285107398,1.94981207770531e-13,3.40747279362838e-12
"SPGP_0CZ00400",737.762527145274,-1.01700417395246,0.248494641121206,-4.09266038641212,4.26452081173126e-05,0.000210636348606681
"SPGP_0CZ00410",1246.2622306276,-1.26523344878783,0.190689103060357,-6.63505899646171,3.24372769690628e-11,4.27729729487505e-10
"SPGP_0CZ00570",406.998603003318,-1.60405904112572,0.230732769329737,-6.95202092786992,3.60089967470505e-12,5.41254401881831e-11
"SPGP_0CZ00630",26.0945360602666,-4.09061409101753,0.917086519489318,-4.46044512059276,8.17896013579563e-06,4.64631136173821e-05
"SPGP_0CZ00670",59.9727352823198,1.0641836241425,0.326983313624025,3.25455024706896,0.00113572067280672,0.00390833413026371
"SPGP_0CZ00680",182.859930885844,-1.52722693050353,0.165853637214663,-9.20828120595781,3.31388573128052e-20,1.05258202625308e-18
"SPGP_0CZ00750",94.6182933983405,-1.15078325121492,0.246725099038759,-4.66423260421567,3.09770837135467e-06,1.87478135993739e-05
"SPGP_0CZ00800",12.2024043241607,-2.40940477198256,0.727741196927385,-3.31079892433653,0.000930300306037908,0.00327509224030747
"SPGP_0CZ01040",2415.06281411708,3.42997536125088,0.224022397396502,15.310859097629,6.47036072437416e-53,1.02384635244052e-50
"SPGP_0CZ01100",210.737478067668,-1.22655607190067,0.157565079109297,-7.78444106292015,7.00220759437126e-15,1.3756255687091e-13
"SPGP_0CZ01310",22.4386264665388,-1.41742858581694,0.48321452001951,-2.93333194076972,0.00335345149760564,0.0101056400220436
"SPGP_0CZ01570",313.912759687421,-2.66896721028934,0.709317910371812,-3.76272355633924,0.000168072952686682,0.000723769869981293
"SPGP_0CZ01670",617.570484281822,-1.04007625563146,0.15393826921709,-6.75645023762547,1.41413518378196e-11,1.9535267467388e-10
"SPGP_0CZ01680",155.739144448953,-1.02407391061579,0.168391347739412,-6.08151145746844,1.1905485672417e-09,1.26821838197117e-08
"SPGP_0CZ01710",170.011180778622,1.15416236886901,0.242148499178451,4.76634120295931,1.87601458889136e-06,1.18140050413325e-05
