"","x"
"1","SPGP_0CZ00290"
"2","SPGP_0CZ00420"
"3","SPGP_0CZ00500"
"4","SPGP_0CZ00640"
"5","SPGP_0CZ00880"
"6","SPGP_0CZ00960"
"7","SPGP_0CZ01280"
"8","SPGP_0CZ01460"
"9","SPGP_0CZ01640"
"10","SPGP_0CZ01660"
"11","SPGP_0CZ01740"
"12","SPGP_0CZ02650"
"13","SPGP_0CZ02840"
"14","SPGP_0CZ03110"
"15","SPGP_0DB00100"
"16","SPGP_0DB00440"
"17","SPGP_0DB00810"
"18","SPGP_0DB01110"
"19","SPGP_0DB01120"
"20","SPGP_0DB01610"
"21","SPGP_0DB01640"
"22","SPGP_0DB01670"
"23","SPGP_0DB01740"
"24","SPGP_0DB01780"
"25","SPGP_0DB01880"
"26","SPGP_0DB02110"
"27","SPGP_0DB02160"
"28","SPGP_0DB02180"
"29","SPGP_0DB02220"
"30","SPGP_0DB02590"
"31","SPGP_0DB02940"
"32","SPGP_0DB03060"
"33","SPGP_0DC00170"
"34","SPGP_0DC00670"
"35","SPGP_0DC00810"
"36","SPGP_0DC00850"
"37","SPGP_0DC01200"
"38","SPGP_0DC01300"
"39","SPGP_0DC01620"
"40","SPGP_0DC01770"
"41","SPGP_0DC01790"
"42","SPGP_0DC01810"
"43","SPGP_0DC01820"
"44","SPGP_0DC02280"
"45","SPGP_0DC02310"
"46","SPGP_0DC02370"
"47","SPGP_0DC02850"
"48","SPGP_0DC02930"
"49","SPGP_0DC03050"
"50","SPGP_0DC03130"
"51","SPGP_0DC03400"
"52","SPGP_0DC03520"
"53","SPGP_0DD00330"
"54","SPGP_0DD00580"
"55","SPGP_0DD00710"
"56","SPGP_0DD00770"
"57","SPGP_0DD00860"
"58","SPGP_0DD01240"
"59","SPGP_0DD01260"
"60","SPGP_0DD02050"
"61","SPGP_0DE00330"
"62","SPGP_0DE00820"
"63","SPGP_0DE00870"
"64","SPGP_0DN00460"
"65","SPGP_0DN00860"
"66","SPGP_0DN01630"
"67","SPGP_0DN01760"
"68","SPGP_0DN02000"
"69","SPGP_0DN02270"
"70","SPGP_0DN02470"
"71","SPGP_0DN02480"
"72","SPGP_0DN02650"
"73","SPGP_0DN02680"
"74","SPGP_0DN03130"
"75","SPGP_0DN03370"
"76","SPGP_0DN03500"
"77","SPGP_0DN03590"
"78","SPGP_0DN03660"
"79","SPGP_0DN04020"
"80","SPGP_0DN04070"
"81","SPGP_0K00350"
"82","SPGP_0K00360"
"83","SPGP_0K00580"
"84","SPGP_0K00750"
"85","SPGP_0K00920"
