"","x"
"1","SPGP_0CZ00120"
"2","SPGP_0CZ00200"
"3","SPGP_0CZ00760"
"4","SPGP_0CZ00840"
"5","SPGP_0CZ01130"
"6","SPGP_0CZ01360"
"7","SPGP_0CZ01490"
"8","SPGP_0CZ01540"
"9","SPGP_0CZ01600"
"10","SPGP_0CZ01930"
"11","SPGP_0CZ02020"
"12","SPGP_0CZ02040"
"13","SPGP_0CZ02110"
"14","SPGP_0CZ02430"
"15","SPGP_0CZ02510"
"16","SPGP_0CZ02600"
"17","SPGP_0CZ02690"
"18","SPGP_0CZ02710"
"19","SPGP_0CZ02730"
"20","SPGP_0CZ02870"
"21","SPGP_0CZ02940"
"22","SPGP_0CZ02950"
"23","SPGP_0CZ02960"
"24","SPGP_0CZ03120"
"25","SPGP_0DB00260"
"26","SPGP_0DB00280"
"27","SPGP_0DB00460"
"28","SPGP_0DB00470"
"29","SPGP_0DB00700"
"30","SPGP_0DB00960"
"31","SPGP_0DB01000"
"32","SPGP_0DB01010"
"33","SPGP_0DB01130"
"34","SPGP_0DB01180"
"35","SPGP_0DB01440"
"36","SPGP_0DB02030"
"37","SPGP_0DB02370"
"38","SPGP_0DB02510"
"39","SPGP_0DB02740"
"40","SPGP_0DB03110"
"41","SPGP_0DB03450"
"42","SPGP_0DB03460"
"43","SPGP_0DC00220"
"44","SPGP_0DC00330"
"45","SPGP_0DC00830"
"46","SPGP_0DC01120"
"47","SPGP_0DC01350"
"48","SPGP_0DC01660"
"49","SPGP_0DC01670"
"50","SPGP_0DC02260"
"51","SPGP_0DC02270"
"52","SPGP_0DC02420"
"53","SPGP_0DC02440"
"54","SPGP_0DC02530"
"55","SPGP_0DC03030"
"56","SPGP_0DC03140"
"57","SPGP_0DC03240"
"58","SPGP_0DC03300"
"59","SPGP_0DC03320"
"60","SPGP_0DD00120"
"61","SPGP_0DD00240"
"62","SPGP_0DD00730"
"63","SPGP_0DD00760"
"64","SPGP_0DD00960"
"65","SPGP_0DD01110"
"66","SPGP_0DD01270"
"67","SPGP_0DD01530"
"68","SPGP_0DD01590"
"69","SPGP_0DD01620"
"70","SPGP_0DD01830"
"71","SPGP_0DD01990"
"72","SPGP_0DD02030"
"73","SPGP_0DE00120"
"74","SPGP_0DE00470"
"75","SPGP_0DE00520"
"76","SPGP_0DE00600"
"77","SPGP_0DG00100"
"78","SPGP_0DN00100"
"79","SPGP_0DN00190"
"80","SPGP_0DN00250"
"81","SPGP_0DN00380"
"82","SPGP_0DN01000"
"83","SPGP_0DN01160"
"84","SPGP_0DN01290"
"85","SPGP_0DN01370"
"86","SPGP_0DN01510"
"87","SPGP_0DN01590"
"88","SPGP_0DN01830"
"89","SPGP_0DN01840"
"90","SPGP_0DN01990"
"91","SPGP_0DN02130"
"92","SPGP_0DN02180"
"93","SPGP_0DN02240"
"94","SPGP_0DN02330"
"95","SPGP_0DN02410"
"96","SPGP_0DN02460"
"97","SPGP_0DN02530"
"98","SPGP_0DN02540"
"99","SPGP_0DN02840"
"100","SPGP_0DN03270"
"101","SPGP_0DN03310"
"102","SPGP_0DN03580"
"103","SPGP_0DN03700"
"104","SPGP_0DN03870"
"105","SPGP_0K00120"
"106","SPGP_0K00160"
"107","SPGP_0K00170"
"108","SPGP_0K00190"
"109","SPGP_0K00220"
"110","SPGP_0K00460"
"111","SPGP_0K00730"
"112","SPGP_0K00870"
"113","SPGP_0K01070"
"114","SPGP_0K02080"
"115","SPGP_0K02090"
"116","SPGP_0K02320"
"117","SPGP_0K02440"
"118","SPGP_0DQ00130"
"119","SPGP_0DU00240"
"120","SPGP_0DU00650"
"121","SPGP_0DU00940"
"122","SPGP_0DU01090"
"123","SPGP_0DU01100"
"124","SPGP_0DU01400"
"125","SPGP_0DU01460"
"126","SPGP_0DU01510"
"127","SPGP_0DV00100"
"128","SPGP_0DV00110"
"129","SPGP_0DV00190"
"130","SPGP_0DV00210"
"131","SPGP_0DV00500"
"132","SPGP_0DV00510"
"133","SPGP_0DV00580"
"134","SPGP_0DX00170"
"135","SPGP_0DX00200"
"136","SPGP_0DX00220"
"137","SPGP_0DX00420"
"138","SPGP_0DX00540"
"139","SPGP_0DX00610"
"140","SPGP_0L00220"
"141","SPGP_0L00390"
"142","SPGP_0L00410"
"143","SPGP_0L00420"
"144","SPGP_0L00550"
"145","SPGP_0L00600"
"146","SPGP_0L00860"
"147","SPGP_0L00940"
"148","SPGP_0L01020"
"149","SPGP_0L01030"
"150","SPGP_0L01270"
"151","SPGP_0L01450"
"152","SPGP_0DZ00110"
"153","SPGP_0DZ00180"
"154","SPGP_0DZ00250"
"155","SPGP_0DZ00260"
"156","SPGP_0DZ00340"
"157","SPGP_0DZ00450"
"158","SPGP_0DZ00460"
"159","SPGP_0DZ00500"
"160","SPGP_0DZ00540"
"161","SPGP_0DZ00740"
"162","SPGP_0DZ00870"
"163","SPGP_0DZ01260"
"164","SPGP_0DZ01360"
"165","SPGP_0DZ01370"
"166","SPGP_0DZ01670"
"167","SPGP_0DZ01710"
"168","SPGP_0DZ01750"
"169","SPGP_0DZ02150"
"170","SPGP_0DZ02280"
"171","SPGP_0EC00100"
"172","SPGP_0EG00130"
"173","SPGP_0EH00100"
"174","SPGP_0M00950"
"175","SPGP_0M01020"
"176","SPGP_0M01030"
"177","SPGP_0M01380"
"178","SPGP_0M01460"
"179","SPGP_0M01620"
"180","SPGP_0M01640"
"181","SPGP_0M01730"
"182","SPGP_0M01740"
"183","SPGP_0M01790"
"184","SPGP_0M01910"
"185","SPGP_0M01970"
"186","SPGP_0M02000"
"187","SPGP_0M02050"
"188","SPGP_0M02110"
"189","SPGP_0M02120"
"190","SPGP_0M02160"
"191","SPGP_0M02470"
"192","SPGP_0M02550"
"193","SPGP_0M02860"
"194","SPGP_0M02990"
"195","SPGP_0M03520"
"196","SPGP_0M03550"
"197","SPGP_0M03640"
"198","SPGP_0M03770"
"199","SPGP_0EO00110"
"200","SPGP_0ER00100"
"201","SPGP_0ER00130"
"202","SPGP_0N00220"
"203","SPGP_0N00390"
"204","SPGP_0N00450"
"205","SPGP_0N00550"
