"","x"
"1","SPGP_0CW00100"
"2","SPGP_0CZ00200"
"3","SPGP_0CZ00260"
"4","SPGP_0CZ00290"
"5","SPGP_0CZ00400"
"6","SPGP_0CZ00420"
"7","SPGP_0CZ00460"
"8","SPGP_0CZ00480"
"9","SPGP_0CZ00560"
"10","SPGP_0CZ00660"
"11","SPGP_0CZ00700"
"12","SPGP_0CZ00730"
"13","SPGP_0CZ00780"
"14","SPGP_0CZ00790"
"15","SPGP_0CZ00820"
"16","SPGP_0CZ00830"
"17","SPGP_0CZ00880"
"18","SPGP_0CZ00950"
"19","SPGP_0CZ00990"
"20","SPGP_0CZ01010"
"21","SPGP_0CZ01020"
"22","SPGP_0CZ01200"
"23","SPGP_0CZ01280"
"24","SPGP_0CZ01400"
"25","SPGP_0CZ01490"
"26","SPGP_0CZ01500"
"27","SPGP_0CZ01550"
"28","SPGP_0CZ01590"
"29","SPGP_0CZ01740"
"30","SPGP_0CZ01780"
"31","SPGP_0CZ01790"
"32","SPGP_0CZ01800"
"33","SPGP_0CZ01810"
"34","SPGP_0CZ01870"
"35","SPGP_0CZ01930"
"36","SPGP_0CZ02330"
"37","SPGP_0CZ02430"
"38","SPGP_0CZ02500"
"39","SPGP_0CZ02510"
"40","SPGP_0CZ02600"
"41","SPGP_0CZ02690"
"42","SPGP_0CZ02710"
"43","SPGP_0CZ02720"
"44","SPGP_0CZ02850"
"45","SPGP_0CZ02870"
"46","SPGP_0CZ02930"
"47","SPGP_0CZ02960"
"48","SPGP_0CZ03050"
"49","SPGP_0CZ03130"
"50","SPGP_0DB00200"
"51","SPGP_0DB00280"
"52","SPGP_0DB00360"
"53","SPGP_0DB00370"
"54","SPGP_0DB00380"
"55","SPGP_0DB00520"
"56","SPGP_0DB00560"
"57","SPGP_0DB00660"
"58","SPGP_0DB00700"
"59","SPGP_0DB00890"
"60","SPGP_0DB00960"
"61","SPGP_0DB01000"
"62","SPGP_0DB01030"
"63","SPGP_0DB01060"
"64","SPGP_0DB01280"
"65","SPGP_0DB01320"
"66","SPGP_0DB01330"
"67","SPGP_0DB01380"
"68","SPGP_0DB01400"
"69","SPGP_0DB01560"
"70","SPGP_0DB01570"
"71","SPGP_0DB01580"
"72","SPGP_0DB01620"
"73","SPGP_0DB01640"
"74","SPGP_0DB01690"
"75","SPGP_0DB01800"
"76","SPGP_0DB02140"
"77","SPGP_0DB02160"
"78","SPGP_0DB02410"
"79","SPGP_0DB02590"
"80","SPGP_0DB02730"
"81","SPGP_0DB02750"
"82","SPGP_0DB02910"
"83","SPGP_0DB02940"
"84","SPGP_0DB03060"
"85","SPGP_0DB03120"
"86","SPGP_0DB03140"
"87","SPGP_0DB03300"
"88","SPGP_0DB03410"
"89","SPGP_0DB03450"
"90","SPGP_0DB03460"
"91","SPGP_0DB03490"
"92","SPGP_0DC00150"
"93","SPGP_0DC00220"
"94","SPGP_0DC00310"
"95","SPGP_0DC00420"
"96","SPGP_0DC00430"
"97","SPGP_0DC00560"
"98","SPGP_0DC00700"
"99","SPGP_0DC00730"
"100","SPGP_0DC00780"
"101","SPGP_0DC00810"
"102","SPGP_0DC00900"
"103","SPGP_0DC00960"
"104","SPGP_0DC01050"
"105","SPGP_0DC01100"
