"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPGP_0CZ00100",620.452633215157,2.08017598631122,0.317697034299279,6.54767203256809,5.84408835451019e-11,6.22765092740788e-10
"SPGP_0CZ00110",146.398758446684,2.41909804663194,0.216930008005426,11.1515141168087,7.03981358740583e-29,5.64493370933489e-27
"SPGP_0CZ00120",88.1083967142087,2.24413859685773,0.336846877034163,6.66219208150809,2.69773116605568e-11,2.96292631462188e-10
"SPGP_0CZ00130",6961.13302566837,2.59022726418962,0.239545931811869,10.8130713997009,2.98505094441836e-27,2.04905656116475e-25
"SPGP_0CZ00140",11208.0048160465,5.06445433948591,0.301956700341015,16.7721210814874,3.90323170122369e-63,2.21044890279924e-60
"SPGP_0CZ00320",19.933338103248,1.06244198953248,0.458014512263957,2.31966883381237,0.020358799052926,0.0450149043969161
"SPGP_0CZ00370",699.899472939825,-1.09714358929129,0.190885366038777,-5.74765688988652,9.04886246482807e-09,6.93083201976392e-08
"SPGP_0CZ00380",672.642890842821,-1.27311121256479,0.142205829135774,-8.9525951242776,3.47221462050426e-19,1.03153235004555e-17
"SPGP_0CZ00410",1246.2622306276,1.77764652145871,0.17540964708774,10.1342574423488,3.89320207369137e-24,1.93825846097349e-22
"SPGP_0CZ00470",7878.39884935983,-1.00848640284059,0.119626578747065,-8.43028709341343,3.44818204288007e-17,8.01127627962469e-16
"SPGP_0CZ00630",26.0945360602666,2.49756249816948,0.434272477537794,5.75114156975818,8.86428465055263e-09,6.80671891683537e-08
"SPGP_0CZ00650",529.491867983374,-3.56372725998221,0.26805277712581,-13.2948716226491,2.47898337713464e-40,4.40432713337588e-38
"SPGP_0CZ00690",2601.77659949293,1.04234823959824,0.16472352325981,6.32786513407801,2.48576248689904e-10,2.3834385072796e-09
"SPGP_0CZ00760",859.790891290655,1.0079660707752,0.141537928171582,7.12152624951013,1.06738400399414e-12,1.43495051338144e-11
"SPGP_0CZ00840",16482.7720387967,1.6679506851508,0.140939620711539,11.8345052777217,2.58865322098036e-32,2.60619853725589e-30
"SPGP_0CZ01040",2415.06281411708,-2.20005329025885,0.223363000677895,-9.84967646200045,6.87649744015649e-23,3.0693568130669e-21
"SPGP_0CZ01090",22.8619496719196,-1.36764077228385,0.500804035582621,-2.73089007897625,0.00631635348023181,0.0160855758528332
"SPGP_0CZ01110",3918.82015232422,1.31794533617202,0.133300477687345,9.88702635607395,4.73895546191488e-23,2.12572650695102e-21
"SPGP_0CZ01120",3771.85299719698,1.1078581518289,0.13895609570805,7.97272078050134,1.55218600342374e-15,2.99879688209435e-14
"SPGP_0CZ01130",629.898257353516,-1.3694310228618,0.181895738569088,-7.52865918484208,5.1263994535301e-14,8.1778706775416e-13
"SPGP_0CZ01220",14.3061622197256,-1.92144855086544,0.62749463531337,-3.06209558254767,0.00219793255941038,0.00632437819016114
"SPGP_0CZ01340",116.830855022977,1.14599906852531,0.212151038584271,5.40180748665105,6.59727320795876e-08,4.42799203980106e-07
"SPGP_0CZ01350",1114.36632126968,1.0142360591206,0.159269730522871,6.36804027853209,1.91458645355021e-10,1.85739484535529e-09
"SPGP_0CZ01360",4534.74880272241,1.03722313415481,0.13356213100711,7.76584744742954,8.1101118811062e-15,1.44372738221421e-13
"SPGP_0CZ01470",1472.30763316216,-1.54782422911978,0.13226504920827,-11.7024432258178,1.23835862043827e-31,1.20653413546141e-29
"SPGP_0CZ01480",562.484744005058,-1.27124094770443,0.164234707840239,-7.74039156778629,9.91110976946736e-15,1.74377797322609e-13
"SPGP_0CZ01570",313.912759687421,-1.90221102050394,0.71036999444632,-2.67777501214219,0.0074112982713641,0.0185098604291153
"SPGP_0CZ01600",328.325977428651,-1.02283551865413,0.241773486901924,-4.23055286897129,2.33117643849117e-05,0.000101600720101821
"SPGP_0CZ01640",67.1082616117286,-1.12093167336854,0.422156953555705,-2.65524863188266,0.00792499729695562,0.0196897177153043
"SPGP_0CZ02020",336.619217979573,-1.53114760880592,0.235008585262465,-6.51528371653266,7.25523932716045e-11,7.54814035225223e-10
"SPGP_0CZ02040",387.426062673187,-1.05402310890115,0.191083874980099,-5.51602331180965,3.46756283294383e-08,2.41503357642614e-07
"SPGP_0CZ02110",3093.90760598946,-1.03303101582858,0.168579654747242,-6.12785105876178,8.90739073781516e-10,7.9127321054258e-09
"SPGP_0CZ02140",41.4955492290846,-2.33357393055751,0.560128061902871,-4.16614358264765,3.09795625672168e-05,0.000131848669056623
"SPGP_0CZ02190",82.8206607622304,2.04317993059817,0.286605660159426,7.12888897400575,1.01182306270507e-12,1.36837742853293e-11
"SPGP_0CZ02260",1304.729492606,1.17568291131156,0.236339474155764,4.97455160849134,6.53988399797668e-07,3.77920209857568e-06
"SPGP_0CZ02270",457.883263102682,1.93408743069515,0.409079829835659,4.72789731889772,2.26856850001949e-06,1.19050693040222e-05
"SPGP_0CZ02290",338.946900138946,-1.05399988720521,0.149681280676659,-7.04162793397028,1.90006642194711e-12,2.45962752903586e-11
"SPGP_0CZ02300",4712.09622011681,1.0004315131834,0.135525337839212,7.38187802468579,1.56072149173769e-13,2.3183110551861e-12
"SPGP_0CZ02360",63.0499793763802,1.08805618194965,0.301940847008734,3.6035408681164,0.000313911362972164,0.00109566674109814
"SPGP_0CZ02540",147.465235209733,1.31703332130139,0.323341103220068,4.07320105048633,4.6371361648987e-05,0.000190122582760847
"SPGP_0CZ02560",3197.62393976035,1.11923713121876,0.168304474139658,6.65007354641106,2.92946599181433e-11,3.19805919901561e-10
"SPGP_0CZ02570",35.5247882396385,1.21503088204985,0.325447109908283,3.73342040859503,0.00018889690432142,0.000687387489982485
"SPGP_0CZ02580",19.8317175805701,1.85957249692345,0.410785350471799,4.5268715030555,5.98633150423318e-06,2.91311223200091e-05
"SPGP_0CZ02730",1656.47447320925,1.1226435991853,0.128163216753917,8.75948363047768,1.96146823063519e-18,5.41855598712971e-17
"SPGP_0CZ02740",48.7386716016945,-1.23191614947754,0.450854953038215,-2.73240016811598,0.00628747228550471,0.016021031040202
"SPGP_0CZ02760",65.8733139835233,-1.37735592854749,0.308253144723337,-4.4682623750155,7.88575467071801e-06,3.7567204559083e-05
"SPGP_0CZ02840",368.041958161334,-1.0778249115557,0.178316846349982,-6.04443681916769,1.49932792301405e-09,1.28649718848772e-08
"SPGP_0CZ02880",1337.82101164043,1.40773376266909,0.114214429172295,12.3253583007931,6.61488097908626e-35,7.68428673737188e-33
"SPGP_0CZ02890",2233.98202886351,-1.3187360363085,0.293820964914904,-4.48822988751137,7.18174077261661e-06,3.44487840871779e-05
"SPGP_0CZ02940",1291.44521743447,-1.08611423520086,0.230138438663134,-4.71939516714398,2.36546910494058e-06,1.23322874337552e-05
"SPGP_0CZ02950",4528.83284633164,-1.27749656984125,0.161970850493118,-7.88720048053049,3.0904073113846e-15,5.73815177222456e-14
"SPGP_0CZ03000",276.742919125014,-1.18534957910013,0.165684418190157,-7.15426104668271,8.41248452135245e-13,1.15318490541565e-11
"SPGP_0CZ03040",20.0517035278562,-1.24466623677893,0.367368403074414,-3.38806012265243,0.000703888331228015,0.00229010131750702
"SPGP_0CZ03120",165.02404058559,1.27645585674075,0.289758391985907,4.40524206388759,1.05665816433132e-05,4.91750366050645e-05
"SPGP_0DB00130",246.36232443403,1.11782231491648,0.189652926852706,5.89404199274308,3.76861331269754e-09,3.05980333569466e-08
"SPGP_0DB00170",481.788179022391,1.87576582831711,0.196750827128464,9.53371254237409,1.51756827275426e-21,5.90158202550488e-20
"SPGP_0DB00260",157.384316179065,1.35215099541918,0.183092731163668,7.38506103888137,1.52383465009321e-13,2.27470605675363e-12
"SPGP_0DB00290",109.476149051225,-1.41577227757642,0.246511221136209,-5.74323664071316,9.28837777634813e-09,7.08434267941838e-08
"SPGP_0DB00410",35.6375649645159,-1.0340464345278,0.366073617856323,-2.82469531834344,0.00473255942868274,0.0124903461119557
"SPGP_0DB00420",11.5390308146238,1.70550806462334,0.540734403105649,3.15405872980883,0.00161016678799894,0.00479767223481038
"SPGP_0DB00430",138.058957065851,1.11912928787806,0.216115656662981,5.17838135912233,2.23819340271543e-07,1.38431880013683e-06
"SPGP_0DB00460",6486.20714830559,2.78837797394393,0.178023206183443,15.6630027833038,2.70803647403922e-55,1.16845326148902e-52
"SPGP_0DB00470",426.016569997805,1.12775053933927,0.239707683270831,4.70469082989341,2.54250953229338e-06,1.31794501556695e-05
"SPGP_0DB00490",1874.51080844028,-1.21894952221171,0.134253252555494,-9.0794785154859,1.09096289033971e-19,3.40869474116143e-18
"SPGP_0DB00510",17.4259964047223,-1.1800877321531,0.518449651040359,-2.27618579699118,0.0228348916318267,0.0497492072796302
"SPGP_0DB00530",339.77607560792,-1.0435887274335,0.19199080402709,-5.43561829808394,5.46067412398778e-08,3.71465227007907e-07
"SPGP_0DB00610",5.79211565783663,-3.10334623867563,1.12812969133517,-2.75087719303155,0.00594359207967646,0.0152520214766209
"SPGP_0DB01010",187.743942956569,1.25744660433174,0.202535547951012,6.2085229830167,5.34849016264138e-10,4.93007826690677e-09
"SPGP_0DB01130",49.8735198426715,-1.33465465061569,0.369764195654248,-3.60947508250278,0.000306817242733714,0.00107338650054447
"SPGP_0DB01180",150.005188522044,-1.09823368030705,0.175473343762148,-6.25869238461481,3.88218774048839e-10,3.6452334835819e-09
"SPGP_0DB01440",112.321281539401,1.68695029988822,0.350407502717242,4.81425279654897,1.47751675159965e-06,8.02624657448707e-06
"SPGP_0DB01530",219.106801070201,1.13185597592918,0.244623271825552,4.62693499061831,3.71116939743114e-06,1.87230274090067e-05
"SPGP_0DB01630",21.0106059635468,1.6388722810931,0.396791647316041,4.13030942606447,3.62275300785958e-05,0.000151760356006545
"SPGP_0DB01840",20.7782783582201,1.12101206045076,0.444460990320818,2.52218323961705,0.0116628937081336,0.0276136608020378
"SPGP_0DB01910",1724.00876856455,1.5230057389176,0.166188125448128,9.16434754174402,4.98475995924372e-20,1.59600388659743e-18
"SPGP_0DB02000",211.63405542203,1.1846551733988,0.253154866807785,4.67956705054493,2.87481334171988e-06,1.47752034539557e-05
"SPGP_0DB02010",18.3354484874155,1.40626384961062,0.411639074829269,3.41625451906838,0.000634888768215079,0.00208336554481758
"SPGP_0DB02030",319.450762607175,-3.10071144717934,0.198813544044559,-15.596077531239,7.74062439773506e-55,3.04946946382076e-52
"SPGP_0DB02100",12.1579852328038,1.66448382595311,0.470598833023709,3.53694847745032,0.00040477862198339,0.00138154859890319
"SPGP_0DB02360",436.597437843404,2.92697444704111,0.198814085880095,14.7221683719451,4.64523181265042e-49,1.35775630498146e-46
"SPGP_0DB02370",301.353792151187,1.72998815280991,0.137900169790111,12.545221339778,4.22232912017383e-36,5.388524529281e-34
"SPGP_0DB02400",24.4231800681386,1.42206863154067,0.535103352867365,2.65755881348992,0.00787088556368556,0.0195660066097544
"SPGP_0DB02700",29.7572710920007,1.87650068881443,0.441363826132724,4.25159602511271,2.1225246765975e-05,9.31341215237283e-05
"SPGP_0DB02740",1368.54738180308,-1.06788124750258,0.175575279585737,-6.08218451949617,1.18556014388854e-09,1.03192703782652e-08
"SPGP_0DB02820",344.389983606467,1.23719238783763,0.139044427091453,8.89782074490405,5.6953905884688e-19,1.66470755232632e-17
"SPGP_0DB02890",173.344179406818,-1.85080720407863,0.193316429650862,-9.57397779082341,1.02869846800586e-21,4.12435257460226e-20
"SPGP_0DB03080",690.57799539377,-2.52189160731539,0.149851102243266,-16.8293163651301,1.48810328365003e-63,8.98913590210195e-61
"SPGP_0DB03110",106.325946569219,-1.47154873676898,0.25900928136821,-5.68145175723264,1.33556188644318e-08,9.87073919499321e-08
"SPGP_0DB03160",109.193451297128,-1.28912007486252,0.29242468544265,-4.40838321467678,1.0414515255811e-05,4.85171839243718e-05
"SPGP_0DB03280",68.9632330118274,1.11552115926293,0.393472796873469,2.83506551946373,0.00458162882501851,0.0121457398430347
"SPGP_0DB03290",161.354067854257,-2.95608255226826,0.322903009968541,-9.1547073300935,5.45053516230443e-20,1.73898940512819e-18
"SPGP_0DB03370",19.7268325512566,1.53263330801825,0.506509086878237,3.02587524631456,0.00247914568171144,0.0070132809934397
"SPGP_0DB03380",29.5298783161712,1.43231356581526,0.334079275710308,4.2873463574474,1.80820240705545e-05,8.0630521704377e-05
"SPGP_0DB03390",6.57904179638144,-2.23524575464066,0.906108718831399,-2.46686264924527,0.0136302629357349,0.0317001572024369
"SPGP_0DC00110",186.532763030984,-1.76586498705846,0.200088018768453,-8.82544091309114,1.09029397406455e-18,3.09691338526611e-17
"SPGP_0DC00330",229.511794488128,-1.7732085513857,0.221874030243403,-7.99196079613475,1.32809276033001e-15,2.59910334802381e-14
"SPGP_0DC00360",3.63056740977559,2.56685621842756,0.851812766987643,3.01340425725833,0.00258334540663662,0.00727390345664258
"SPGP_0DC00410",11.6720128550734,-6.59703655241386,1.77902572786164,-3.70822998740067,0.000208713053774174,0.000752247008849557
"SPGP_0DC00570",129.402009822479,-1.25881452160048,0.218165682331187,-5.76999328285527,7.92746924207929e-09,6.14463633896325e-08
"SPGP_0DC00790",52.6090322024967,1.06860581956333,0.406667091903894,2.62771648072243,0.00859601271249433,0.021125161700003
"SPGP_0DC00820",217.915569056468,-1.689730513271,0.221657244592598,-7.62316844809964,2.47523530078623e-14,4.10771191582857e-13
"SPGP_0DC00830",439.243812802234,-1.56653242456966,0.232094532051219,-6.74954472526719,1.48309788414876e-11,1.68823491561205e-10
"SPGP_0DC00920",11.8886830810018,2.05807370573618,0.574360578769428,3.58324331754386,0.0003393542256085,0.0011781182521987
"SPGP_0DC00950",27.2511794849997,1.95230878333653,0.365743315978764,5.33792060727606,9.40186087654491e-08,6.16873724854261e-07
"SPGP_0DC01070",154.172688480661,-1.24768914742745,0.212178315601237,-5.88038011279306,4.09325390932651e-09,3.30561262677429e-08
"SPGP_0DC01120",649.842102263221,-1.80686985499439,0.163531802010026,-11.0490426497203,2.21564996997586e-28,1.71589781008131e-26
"SPGP_0DC01350",703.345033430554,1.40340608548223,0.135337580916225,10.369670242229,3.40698405861237e-25,1.92941765969292e-23
"SPGP_0DC01420",29.4806324154527,-1.06427836352159,0.400937312761903,-2.6544757238736,0.00794317548184234,0.0197287310735442
"SPGP_0DC01440",269.343373966476,-1.22196181657833,0.186847920582186,-6.53987377954707,6.15707748100299e-11,6.51020732773541e-10
"SPGP_0DC01450",191.269816605573,-1.15464939521304,0.186347834901256,-6.19620504753852,5.78407654599127e-10,5.29924343612001e-09
"SPGP_0DC01590",122.4052959568,1.29886880632118,0.240469813765076,5.40137984882415,6.61302263348181e-08,4.43199689955463e-07
"SPGP_0DC01660",158.638697444715,-1.46434348186496,0.170677532176199,-8.57959136855371,9.52107664942232e-18,2.42332796405662e-16
"SPGP_0DC01670",89.5260990484632,-1.00967623814603,0.236006522022089,-4.27817091449502,1.88435315100026e-05,8.38611193576293e-05
"SPGP_0DC01780",526.277999636299,1.56573914204243,0.257282717895852,6.08567553564261,1.16001152307431e-09,1.01066003947849e-08
"SPGP_0DC02070",6.77192965658053,-2.02116221483929,0.784560533451513,-2.57617115399319,0.00999011821237113,0.0241452283601746
"SPGP_0DC02090",6.69220100955461,-3.32204659102862,1.42827886203065,-2.32590895191539,0.0200234083780006,0.0443816299689489
"SPGP_0DC02210",130.762156967298,-3.81004902925899,1.23045241012467,-3.09646191750962,0.00195845016497461,0.00570962578662643
"SPGP_0DC02270",2316.51520703705,1.11035422249404,0.155354767565407,7.14721691451506,8.85548881971515e-13,1.20661028865322e-11
"SPGP_0DC02310",13.2797895246249,-1.43064407681501,0.608180594382595,-2.35233430666651,0.0186559993911162,0.0417284646958539
"SPGP_0DC02330",19.7791705531888,1.0212440883756,0.364205442671022,2.80403302291685,0.00504677357565474,0.0131935416529162
"SPGP_0DC02530",739.06291630743,-1.13235583061723,0.18989406463702,-5.96309227874874,2.47508548078461e-09,2.06888833407651e-08
"SPGP_0DC02680",488.061605473978,1.07335941765445,0.238230611415531,4.50554784406885,6.62019203280042e-06,3.19411927631547e-05
"SPGP_0DC02690",249.381238518751,1.39393552974596,0.252769764139197,5.51464505453403,3.4948456202335e-08,2.43216560406572e-07
"SPGP_0DC02770",4.87945069066015,-3.21310428816341,1.35458759059788,-2.3720166273967,0.0176912945516861,0.0397670106506644
"SPGP_0DC02780",23.9844816209368,-1.8637438519393,0.665336703685478,-2.80120402439174,0.00509123196534368,0.0132905943065339
"SPGP_0DC02870",913.50811251056,-1.03303281569349,0.166774606225199,-6.19418530839504,5.85872670474139e-10,5.3514034951272e-09
"SPGP_0DC03030",270.936011866193,-1.18229479870755,0.247458625259281,-4.77774738087537,1.77269892534895e-06,9.49315896133972e-06
"SPGP_0DC03050",2.22411025936864,4.61939039464345,1.4446689175716,3.19754259156373,0.00138603941281822,0.00420069281674534
