"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPGP_0CW00100",17962.2761747219,-1.3274397280025,0.135099955342273,-9.82561189335299,8.73419816712917e-23,1.11021630347236e-21
"SPGP_0CZ00100",620.452633215157,2.21264814140045,0.309787997058459,7.14245923796364,9.16757080316751e-13,5.56985679106318e-12
"SPGP_0CZ00110",146.398758446684,1.68511167760447,0.201287418238233,8.3716691900239,5.68077341508225e-17,4.72937181340316e-16
"SPGP_0CZ00120",88.1083967142087,2.11996006745359,0.322273952383855,6.57813035081577,4.76400506718773e-11,2.54181124860749e-10
"SPGP_0CZ00130",6961.13302566837,1.36392896394247,0.239250613659055,5.70083789162664,1.19219969342803e-08,5.13858086145914e-08
"SPGP_0CZ00140",11208.0048160465,4.91599771867477,0.301020652411921,16.3310978143375,5.9307473469023e-60,7.40622111253029e-58
"SPGP_0CZ00200",3542.2029418973,1.10568305850912,0.143344745168424,7.71345372451558,1.22457769918758e-14,8.63841413602475e-14
"SPGP_0CZ00260",1259.62926095096,-1.1694488665327,0.14639995403379,-7.9880412138844,1.37099621353897e-15,1.03086867447629e-14
"SPGP_0CZ00290",4234.39613845911,1.2527780861764,0.109364638371656,11.4550562670821,2.21819165734685e-30,4.62715781163483e-29
"SPGP_0CZ00370",699.899472939825,-1.529540836583,0.18626535919572,-8.21162261833036,2.18219207952331e-16,1.72503310580624e-15
"SPGP_0CZ00380",672.642890842821,-1.63887723625112,0.135681559537713,-12.078850227216,1.36616683257012e-33,3.36659938660813e-32
"SPGP_0CZ00400",737.762527145274,1.87048427573085,0.246980694073933,7.57340278253057,3.63572814026981e-14,2.48320500696477e-13
"SPGP_0CZ00410",1246.2622306276,3.39916477721782,0.176584675021697,19.2494891009095,1.42561836011422e-82,5.2696557063262e-80
"SPGP_0CZ00420",62.2520168422533,1.39615622301805,0.281640562834999,4.95722707327494,7.15063870005011e-07,2.61906667567035e-06
"SPGP_0CZ00460",16766.0210957205,-1.4667561070408,0.116031569155092,-12.6410089747237,1.2543391177526e-36,3.7634246062181e-35
"SPGP_0CZ00470",7878.39884935983,-1.1795650582859,0.119367316230322,-9.88180932215904,4.99232434556515e-23,6.44330576499547e-22
"SPGP_0CZ00480",3654.63652772596,-1.02602646891892,0.118614133554014,-8.65011983122311,5.14453820227117e-18,4.71633705626864e-17
"SPGP_0CZ00560",13388.2583354263,-1.48661960406958,0.183243085103753,-8.11282784956308,4.94551124139179e-16,3.82759375056127e-15
"SPGP_0CZ00570",406.998603003318,2.76835911527837,0.216725673014535,12.7735633567174,2.30361903580461e-37,7.26544147094554e-36
"SPGP_0CZ00640",79.2492134728049,1.13740239880893,0.265901133326515,4.27753873998064,1.88971079135768e-05,5.90958288424242e-05
"SPGP_0CZ00650",529.491867983374,-2.79390092170082,0.274754991581688,-10.1686994133104,2.7353656073947e-24,3.81835552536774e-23
"SPGP_0CZ00660",556.245382648383,1.66302734649351,0.164247610240648,10.1251235500896,4.27438569805835e-24,5.88667633915905e-23
"SPGP_0CZ00690",2601.77659949293,1.56275368890296,0.1653103609769,9.45345276404868,3.27834347532129e-21,3.72634342625388e-20
"SPGP_0CZ00700",1647.92025165724,1.79968237895049,0.139163388783442,12.9321540290388,2.96396808506483e-38,9.85252844391514e-37
"SPGP_0CZ00730",350.67506938816,-1.0966480958762,0.136671788159225,-8.02395366773561,1.02394936306765e-15,7.75599677385915e-15
"SPGP_0CZ00760",859.790891290655,1.94437693640693,0.142866013500894,13.6097934614432,3.50232166870336e-42,1.48463094222421e-40
"SPGP_0CZ00780",335.239409499305,1.46222522030096,0.20752068224114,7.04616621586591,1.83914548022382e-12,1.08875998608253e-11
"SPGP_0CZ00790",2747.23922356852,1.11096884244177,0.101773279230181,10.9161152204705,9.65371246769516e-28,1.68320673422587e-26
"SPGP_0CZ00800",12.2024043241607,1.43522807258815,0.621327677302221,2.30993745332552,0.0208916171540071,0.0409718663243165
"SPGP_0CZ00820",1455.35509081511,-1.33870042212759,0.171115728732539,-7.82336277350654,5.14306158805862e-15,3.72761036354899e-14
"SPGP_0CZ00830",2446.6400306796,-1.24344124386557,0.172182845027851,-7.22163258287691,5.13671056448403e-13,3.17939332393817e-12
"SPGP_0CZ00840",16482.7720387967,1.64693297835015,0.14092428460697,11.6866513315527,1.4915221349204e-31,3.32124242139745e-30
"SPGP_0CZ00880",330.864247669813,-1.33498097386507,0.17997700713724,-7.41750846455119,1.1934406360044e-13,7.77756341136575e-13
"SPGP_0CZ00950",594.651152572431,1.0273145458401,0.156865668081364,6.54900819538953,5.79204533881112e-11,3.0672946118025e-10
"SPGP_0CZ00990",1673.39688890313,-1.25868900494844,0.139717192465956,-9.00883407927868,2.08258695117637e-19,2.11485560613416e-18
"SPGP_0CZ01010",939.881960428304,1.31775541143304,0.132557748204499,9.94099122293566,2.76066278237699e-23,3.61349642662122e-22
"SPGP_0CZ01020",519.804423013059,1.12547939068395,0.1746965558144,6.44248185338969,1.17535421379066e-10,6.09851111153255e-10
"SPGP_0CZ01040",2415.06281411708,-3.33296156925308,0.225499024146207,-14.7803813425467,1.96053012042225e-49,1.35203424200164e-47
