"","x"
"217","SPGP_0R02840"
"218","SPGP_0R02970"
"219","SPGP_0R03200"
"220","SPGP_0R03270"
"221","SPGP_0R03360"
"222","SPGP_0R03420"
"223","SPGP_0S00690"
"224","SPGP_0S00990"
"225","SPGP_0S01140"
"226","SPGP_0S01200"
"227","SPGP_0S01210"
"228","SPGP_0S01400"
"229","SPGP_0S02080"
"230","SPGP_0S02140"
"231","SPGP_0S02310"
"232","SPGP_0S02440"
"233","SPGP_0S02450"
"234","SPGP_0S02850"
"235","SPGP_0S02900"
"236","SPGP_0S02910"
"237","SPGP_0S02920"
"238","SPGP_0S03280"
"239","SPGP_0S03400"
"240","SPGP_0S03490"
"241","SPGP_0S03570"
"242","SPGP_0T00360"
"243","SPGP_0T00410"
"244","SPGP_0U00170"
"245","SPGP_0U00630"
"246","SPGP_0U00750"
"247","SPGP_0U01120"
"248","SPGP_0U01200"
"249","SPGP_0U01310"
"250","SPGP_0U01420"
"251","SPGP_0U01620"
"252","SPGP_0U01720"
"253","SPGP_0U01950"
"254","SPGP_0U02120"
"255","SPGP_0V00100"
"256","SPGP_0V00310"
"257","SPGP_0V00380"
"258","SPGP_0V00540"
"259","SPGP_0V00680"
"260","SPGP_0V00930"
"261","SPGP_0V01120"
"262","SPGP_0V02090"
"263","SPGP_0W00140"
"264","SPGP_0W00180"
"265","SPGP_0W00570"
"266","SPGP_0W00650"
"267","SPGP_0W00770"
"268","SPGP_0W00780"
"269","SPGP_0W01310"
"270","SPGP_0W01510"
"271","SPGP_0W01680"
"272","SPGP_0W02070"
"273","SPGP_0W02090"
"274","SPGP_0W02220"
"275","SPGP_0W02730"
"276","SPGP_0W02840"
"277","SPGP_0W02900"
"278","SPGP_0W03200"
"279","SPGP_0W03330"
"280","SPGP_0W03360"
"281","SPGP_0W03490"
"282","SPGP_0W03500"
"283","SPGP_0W03510"
"284","SPGP_0W03840"
"285","SPGP_0W04300"
"286","SPGP_0W04640"
"287","SPGP_0W04820"
"288","SPGP_0X00620"
"289","SPGP_0X00670"
"290","SPGP_0X00760"
"291","SPGP_0X00900"
"292","SPGP_0Y00190"
"293","SPGP_0Y00620"
"294","SPGP_0Y01070"
"295","SPGP_0Y01080"
"296","SPGP_0Y01140"
"297","SPGP_0Y01370"
"298","SPGP_0Z00220"
"299","SPGP_0Z00270"
"300","SPGP_0Z00290"
"301","SPGP_0Z00320"
"302","SPGP_0Z01140"
"303","SPGP_0Z01160"
"304","SPGP_0Z01200"
"305","SPGP_0Z01590"
"306","SPGP_0Z01620"
