"","x"
"1","SPGP_0CZ00630"
"2","SPGP_0CZ01570"
"3","SPGP_0CZ02740"
"4","SPGP_0CZ02760"
"5","SPGP_0CZ03040"
"6","SPGP_0DB02000"
"7","SPGP_0DB02010"
"8","SPGP_0DB02360"
"9","SPGP_0DC00410"
"10","SPGP_0DC02090"
"11","SPGP_0DC02210"
"12","SPGP_0DC02780"
"13","SPGP_0DE00840"
"14","SPGP_0DN00270"
"15","SPGP_0DN03990"
"16","SPGP_0DU00510"
"17","SPGP_0DU00870"
"18","SPGP_0DU01300"
"19","SPGP_0L01170"
"20","SPGP_0DZ00900"
"21","SPGP_0DZ00910"
"22","SPGP_0DZ02160"
"23","SPGP_0M00890"
"24","SPGP_0M02390"
"25","SPGP_0M03570"
"26","SPGP_0N00310"
"27","SPGP_0N00940"
"28","SPGP_0N02270"
"29","SPGP_0P00390"
"30","SPGP_0P01360"
"31","SPGP_0Q01060"
"32","SPGP_0Q02340"
"33","SPGP_0Q03940"
"34","SPGP_0R00580"
"35","SPGP_0R02040"
"36","SPGP_0R02930"
"37","SPGP_0S00560"
"38","SPGP_0S01830"
"39","SPGP_0S02020"
"40","SPGP_0S02120"
"41","SPGP_0S02380"
"42","SPGP_0S02760"
"43","SPGP_0S03010"
"44","SPGP_0T00190"
"45","SPGP_0U00810"
"46","SPGP_0U00900"
"47","SPGP_0U01550"
"48","SPGP_0V00390"
"49","SPGP_0W01150"
"50","SPGP_0W03410"
"51","SPGP_0W04830"
"52","SPGP_0Y00410"
"53","SPGP_0Y00420"
"54","SPGP_0Y00450"
"55","SPGP_0Y00630"
"56","SPGP_0Y01020"
"57","SPGP_0Z02170"
"58","SPGP_0AA00790"
"59","SPGP_0B00930"
"60","SPGP_0B01160"
"61","SPGP_0B01170"
"62","SPGP_0B01710"
"63","SPGP_0C00660"
"64","SPGP_0C01070"
"65","SPGP_0C02850"
"66","SPGP_0C02880"
"67","SPGP_0E00870"
"68","SPGP_0E02180"
"69","SPGP_0E02270"
"70","SPGP_0F00980"
"71","SPGP_0F01640"
"72","SPGP_0F02180"
"73","SPGP_0F02990"
"74","SPGP_0F03630"
"75","SPGP_0F03810"
"76","SPGP_0G00940"
"77","SPGP_0G01430"
"78","SPGP_0G02730"
"79","SPGP_0G02820"
"80","SPGP_0G03190"
"81","SPGP_0G03210"
"82","SPGP_0G03370"
"83","SPGP_0I02220"
