"","x"
"1","SPGP_0CZ00150"
"2","SPGP_0CZ00670"
"3","SPGP_0CZ00750"
"4","SPGP_0CZ01080"
"5","SPGP_0CZ01310"
"6","SPGP_0CZ01850"
"7","SPGP_0CZ02210"
"8","SPGP_0CZ02440"
"9","SPGP_0CZ02620"
"10","SPGP_0CZ02770"
"11","SPGP_0DB00540"
"12","SPGP_0DB01370"
"13","SPGP_0DB02570"
"14","SPGP_0DB02630"
"15","SPGP_0DB02790"
"16","SPGP_0DB03130"
"17","SPGP_0DB03170"
"18","SPGP_0DB03260"
"19","SPGP_0DC00280"
"20","SPGP_0DC00650"
"21","SPGP_0DC01550"
"22","SPGP_0DC01740"
"23","SPGP_0DD00160"
"24","SPGP_0DD00960"
"25","SPGP_0DE00270"
"26","SPGP_0DH00100"
"27","SPGP_0DK00100"
"28","SPGP_0DN01420"
"29","SPGP_0DN01690"
"30","SPGP_0DN01720"
"31","SPGP_0DN01960"
"32","SPGP_0DN02940"
"33","SPGP_0DN03840"
"34","SPGP_0DN03920"
"35","SPGP_0K00160"
"36","SPGP_0K00430"
"37","SPGP_0K01510"
"38","SPGP_0K02670"
"39","SPGP_0DU00310"
"40","SPGP_0DU01040"
"41","SPGP_0L01200"
"42","SPGP_0L01210"
"43","SPGP_0DZ00510"
"44","SPGP_0DZ01670"
"45","SPGP_0DZ02250"
"46","SPGP_0M01120"
"47","SPGP_0M01360"
"48","SPGP_0M01490"
"49","SPGP_0M02220"
"50","SPGP_0M02480"
"51","SPGP_0M02940"
"52","SPGP_0M03050"
"53","SPGP_0N00640"
"54","SPGP_0N01320"
"55","SPGP_0N01660"
"56","SPGP_0N01740"
"57","SPGP_0EW00100"
"58","SPGP_0P00680"
"59","SPGP_0P02670"
"60","SPGP_0P02850"
"61","SPGP_0P02920"
"62","SPGP_0P03100"
"63","SPGP_0Q00480"
"64","SPGP_0Q00840"
"65","SPGP_0Q01070"
"66","SPGP_0Q02290"
"67","SPGP_0Q02890"
"68","SPGP_0Q03100"
"69","SPGP_0Q03170"
"70","SPGP_0Q03500"
"71","SPGP_0Q03760"
"72","SPGP_0Q04940"
"73","SPGP_0Q04960"
"74","SPGP_0R00780"
"75","SPGP_0R00830"
"76","SPGP_0R00970"
"77","SPGP_0R01070"
"78","SPGP_0R01230"
"79","SPGP_0R01740"
"80","SPGP_0R02890"
"81","SPGP_0R03180"
"82","SPGP_0S00430"
"83","SPGP_0S01000"
"84","SPGP_0S01050"
"85","SPGP_0S01270"
"86","SPGP_0S01460"
"87","SPGP_0S01570"
"88","SPGP_0S01780"
"89","SPGP_0S01790"
"90","SPGP_0S02070"
"91","SPGP_0S03070"
"92","SPGP_0S03180"
"93","SPGP_0U01890"
"94","SPGP_0U02060"
"95","SPGP_0U02160"
"96","SPGP_0U02240"
"97","SPGP_0V01130"
"98","SPGP_0V01370"
"99","SPGP_0V01660"
"100","SPGP_0V01930"
"101","SPGP_0W00420"
"102","SPGP_0W00850"
"103","SPGP_0W00880"
"104","SPGP_0W01220"
"105","SPGP_0W01560"
"106","SPGP_0W01830"
"107","SPGP_0W01980"
"108","SPGP_0W02600"
"109","SPGP_0W02790"
"110","SPGP_0W03370"
"111","SPGP_0W03540"
"112","SPGP_0W03670"
"113","SPGP_0W03910"
"114","SPGP_0W03950"
"115","SPGP_0W04200"
"116","SPGP_0W04470"
"117","SPGP_0X00710"
"118","SPGP_0Z00670"
"119","SPGP_0Z00880"
"120","SPGP_0Z01080"
"121","SPGP_0Z01530"
"122","SPGP_0Z01910"
"123","SPGP_0Z01930"
"124","SPGP_0Z02400"
"125","SPGP_0Z02810"
"126","SPGP_0B01180"
"127","SPGP_0AE00450"
"128","SPGP_0AE00580"
"129","SPGP_0AE00750"
"130","SPGP_0AE01140"
"131","SPGP_0AE01290"
"132","SPGP_0AE01310"
"133","SPGP_0AH00980"
"134","SPGP_0AH01080"
"135","SPGP_0AH01090"
"136","SPGP_0AI00130"
"137","SPGP_0C00720"
"138","SPGP_0C00990"
"139","SPGP_0C01050"
"140","SPGP_0C01110"
"141","SPGP_0C02400"
"142","SPGP_0C02510"
"143","SPGP_0C02560"
"144","SPGP_0C02630"
"145","SPGP_0C03730"
"146","SPGP_0C04580"
"147","SPGP_0D00630"
"148","SPGP_0BC00240"
"149","SPGP_0E01410"
"150","SPGP_0E02540"
"151","SPGP_0F00500"
"152","SPGP_0F00700"
"153","SPGP_0F01970"
"154","SPGP_0F01990"
"155","SPGP_0F03060"
"156","SPGP_0F04380"
"157","SPGP_0F04810"
"158","SPGP_0F04830"
"159","SPGP_0F04970"
"160","SPGP_0G00810"
"161","SPGP_0G00870"
"162","SPGP_0G01490"
"163","SPGP_0G02650"
"164","SPGP_0G03260"
"165","SPGP_0G03270"
"166","SPGP_0G03280"
"167","SPGP_0H00130"
"168","SPGP_0I00520"
"169","SPGP_0I01500"
"170","SPGP_0I01610"
"171","SPGP_0I02170"
"172","SPGP_0I02440"
"173","SPGP_0I02600"
