"","x"
"1","SPGP_0CZ00110"
"2","SPGP_0CZ00120"
"3","SPGP_0CZ00370"
"4","SPGP_0CZ00380"
"5","SPGP_0CZ00470"
"6","SPGP_0CZ00650"
"7","SPGP_0CZ00690"
"8","SPGP_0CZ00760"
"9","SPGP_0CZ00840"
"10","SPGP_0CZ01040"
"11","SPGP_0CZ01090"
"12","SPGP_0CZ01110"
"13","SPGP_0CZ01120"
"14","SPGP_0CZ01130"
"15","SPGP_0CZ01340"
"16","SPGP_0CZ01360"
"17","SPGP_0CZ01470"
"18","SPGP_0CZ01480"
"19","SPGP_0CZ01600"
"20","SPGP_0CZ02020"
"21","SPGP_0CZ02040"
"22","SPGP_0CZ02110"
"23","SPGP_0CZ02290"
"24","SPGP_0CZ02300"
"25","SPGP_0CZ02560"
"26","SPGP_0CZ02570"
"27","SPGP_0CZ02940"
"28","SPGP_0CZ02950"
"29","SPGP_0CZ03120"
"30","SPGP_0DB00290"
"31","SPGP_0DB00460"
"32","SPGP_0DB00490"
"33","SPGP_0DB00530"
"34","SPGP_0DB01130"
"35","SPGP_0DB01440"
"36","SPGP_0DB01630"
"37","SPGP_0DB02030"
"38","SPGP_0DB02370"
"39","SPGP_0DB02740"
"40","SPGP_0DB03080"
"41","SPGP_0DB03110"
"42","SPGP_0DB03280"
"43","SPGP_0DB03380"
"44","SPGP_0DC00330"
"45","SPGP_0DC00360"
"46","SPGP_0DC01070"
"47","SPGP_0DC01120"
"48","SPGP_0DC01350"
"49","SPGP_0DC01660"
"50","SPGP_0DC01670"
"51","SPGP_0DC02270"
"52","SPGP_0DC02310"
"53","SPGP_0DC02530"
"54","SPGP_0DC02680"
"55","SPGP_0DC02690"
"56","SPGP_0DC02870"
"57","SPGP_0DC03050"
"58","SPGP_0DC03240"
"59","SPGP_0DC03300"
"60","SPGP_0DC03320"
"61","SPGP_0DD00330"
"62","SPGP_0DD00730"
"63","SPGP_0DD00760"
"64","SPGP_0DD00920"
"65","SPGP_0DD01110"
"66","SPGP_0DD01180"
"67","SPGP_0DD01230"
"68","SPGP_0DD01300"
"69","SPGP_0DD01830"
"70","SPGP_0DD01990"
"71","SPGP_0DE00210"
"72","SPGP_0DE00470"
"73","SPGP_0DE00520"
"74","SPGP_0DE00600"
"75","SPGP_0DE00670"
"76","SPGP_0DE00720"
"77","SPGP_0DG00100"
"78","SPGP_0DN00190"
"79","SPGP_0DN00250"
"80","SPGP_0DN00880"
"81","SPGP_0DN01000"
"82","SPGP_0DN01110"
"83","SPGP_0DN01250"
"84","SPGP_0DN01370"
"85","SPGP_0DN01400"
"86","SPGP_0DN01590"
"87","SPGP_0DN01670"
"88","SPGP_0DN02180"
"89","SPGP_0DN02240"
"90","SPGP_0DN02310"
"91","SPGP_0DN02330"
"92","SPGP_0DN02410"
"93","SPGP_0DN02430"
"94","SPGP_0DN03680"
"95","SPGP_0DN03690"
"96","SPGP_0DN03860"
"97","SPGP_0K00300"
"98","SPGP_0K00460"
"99","SPGP_0K00520"
"100","SPGP_0K00860"
"101","SPGP_0K00870"
"102","SPGP_0K01360"
"103","SPGP_0K01600"
"104","SPGP_0K01990"
"105","SPGP_0K02080"
"106","SPGP_0K02090"
"107","SPGP_0K02190"
"108","SPGP_0K02540"
"109","SPGP_0DS00100"
"110","SPGP_0DU00150"
"111","SPGP_0DU00370"
"112","SPGP_0DU00410"
"113","SPGP_0DU00810"
"114","SPGP_0DU00820"
"115","SPGP_0DU00830"
"116","SPGP_0DU00940"
"117","SPGP_0DU00950"
"118","SPGP_0DU01090"
"119","SPGP_0DU01100"
"120","SPGP_0DU01400"
"121","SPGP_0DU01450"
"122","SPGP_0DU01460"
"123","SPGP_0DU01510"
"124","SPGP_0DU01710"
"125","SPGP_0DV00100"
"126","SPGP_0DV00110"
"127","SPGP_0DV00460"
"128","SPGP_0DV00580"
"129","SPGP_0DX00170"
"130","SPGP_0DX00220"
"131","SPGP_0DX00430"
"132","SPGP_0DX00530"
"133","SPGP_0DX00610"
"134","SPGP_0L00220"
"135","SPGP_0L00330"
"136","SPGP_0L00390"
"137","SPGP_0L00410"
"138","SPGP_0L00420"
"139","SPGP_0L00600"
"140","SPGP_0L00960"
"141","SPGP_0L01110"
"142","SPGP_0L01140"
"143","SPGP_0L01280"
"144","SPGP_0L01400"
"145","SPGP_0L01620"
"146","SPGP_0L01640"
"147","SPGP_0L01660"
"148","SPGP_0DZ00180"
"149","SPGP_0DZ00340"
"150","SPGP_0DZ00450"
"151","SPGP_0DZ00830"
"152","SPGP_0DZ00920"
"153","SPGP_0DZ00960"
"154","SPGP_0DZ00990"
"155","SPGP_0DZ01350"
"156","SPGP_0DZ01370"
"157","SPGP_0DZ01470"
"158","SPGP_0DZ01750"
"159","SPGP_0DZ02090"
"160","SPGP_0DZ02150"
"161","SPGP_0DZ02290"
"162","SPGP_0EE00220"
"163","SPGP_0EG00130"
"164","SPGP_0M00140"
"165","SPGP_0M00340"
"166","SPGP_0M00460"
"167","SPGP_0M00580"
"168","SPGP_0M00770"
"169","SPGP_0M01020"
"170","SPGP_0M01030"
"171","SPGP_0M01260"
"172","SPGP_0M01380"
"173","SPGP_0M01460"
"174","SPGP_0M01740"
"175","SPGP_0M01910"
"176","SPGP_0M02000"
"177","SPGP_0M02050"
"178","SPGP_0M02070"
"179","SPGP_0M02990"
"180","SPGP_0M03230"
"181","SPGP_0M03520"
"182","SPGP_0M03640"
"183","SPGP_0M03670"
"184","SPGP_0M03740"
"185","SPGP_0M03770"
"186","SPGP_0EO00100"
"187","SPGP_0EO00110"
"188","SPGP_0EQ00110"
"189","SPGP_0ER00100"
"190","SPGP_0ER00130"
"191","SPGP_0N00220"
"192","SPGP_0N00270"
"193","SPGP_0N00450"
"194","SPGP_0N00630"
"195","SPGP_0N00690"
"196","SPGP_0N00720"
"197","SPGP_0N01120"
"198","SPGP_0N01490"
"199","SPGP_0N01620"
"200","SPGP_0N01640"
"201","SPGP_0N01790"
"202","SPGP_0N01800"
"203","SPGP_0N02050"
"204","SPGP_0N02200"
"205","SPGP_0N02240"
"206","SPGP_0FB00100"
"207","SPGP_0FF00100"
"208","SPGP_0P00130"
"209","SPGP_0P00270"
"210","SPGP_0P00310"
"211","SPGP_0P00510"
"212","SPGP_0P00520"
"213","SPGP_0P00890"
"214","SPGP_0P01110"
"215","SPGP_0P01130"
"216","SPGP_0P01140"
"217","SPGP_0P01320"
"218","SPGP_0P01380"
"219","SPGP_0P01390"
"220","SPGP_0P01650"
"221","SPGP_0P01720"
"222","SPGP_0P01750"
"223","SPGP_0P01890"
"224","SPGP_0P01970"
"225","SPGP_0P03010"
"226","SPGP_0FT00110"
"227","SPGP_0FT00150"
"228","SPGP_0Q00160"
"229","SPGP_0Q00210"
"230","SPGP_0Q00320"
"231","SPGP_0Q00520"
"232","SPGP_0Q00950"
"233","SPGP_0Q01040"
"234","SPGP_0Q01110"
"235","SPGP_0Q01390"
"236","SPGP_0Q01520"
"237","SPGP_0Q01630"
"238","SPGP_0Q01800"
"239","SPGP_0Q01980"
"240","SPGP_0Q02120"
"241","SPGP_0Q02140"
"242","SPGP_0Q02470"
"243","SPGP_0Q02550"
"244","SPGP_0Q02620"
"245","SPGP_0Q02630"
"246","SPGP_0Q02860"
"247","SPGP_0Q03530"
"248","SPGP_0Q03550"
"249","SPGP_0Q03640"
"250","SPGP_0Q03680"
"251","SPGP_0Q04010"
"252","SPGP_0Q04220"
"253","SPGP_0Q04250"
"254","SPGP_0Q04260"
"255","SPGP_0Q04370"
"256","SPGP_0Q04490"
"257","SPGP_0Q04980"
"258","SPGP_0Q05090"
"259","SPGP_0R00120"
"260","SPGP_0R00270"
"261","SPGP_0R00340"
"262","SPGP_0R00450"
"263","SPGP_0R00480"
"264","SPGP_0R00530"
"265","SPGP_0R00770"
"266","SPGP_0R00940"
"267","SPGP_0R01400"
"268","SPGP_0R01410"
"269","SPGP_0R01550"
"270","SPGP_0R01560"
"271","SPGP_0R01720"
"272","SPGP_0R01910"
"273","SPGP_0R02330"
"274","SPGP_0R02340"
"275","SPGP_0R02870"
"276","SPGP_0R03440"
"277","SPGP_0S00160"
"278","SPGP_0S00230"
"279","SPGP_0S00280"
"280","SPGP_0S00300"
"281","SPGP_0S00480"
"282","SPGP_0S00510"
"283","SPGP_0S00970"
"284","SPGP_0S01290"
"285","SPGP_0S01300"
"286","SPGP_0S01410"
"287","SPGP_0S01420"
"288","SPGP_0S01480"
"289","SPGP_0S01600"
"290","SPGP_0S01900"
"291","SPGP_0S01910"
"292","SPGP_0S02050"
"293","SPGP_0S02390"
"294","SPGP_0S02460"
"295","SPGP_0S02790"
"296","SPGP_0S02840"
"297","SPGP_0S02860"
"298","SPGP_0S02890"
"299","SPGP_0S03060"
"300","SPGP_0S03110"
"301","SPGP_0S03190"
"302","SPGP_0S03330"
"303","SPGP_0S03340"
"304","SPGP_0T00220"
"305","SPGP_0U00430"
"306","SPGP_0U00440"
"307","SPGP_0U00490"
"308","SPGP_0U01130"
"309","SPGP_0U01390"
"310","SPGP_0U01440"
"311","SPGP_0U01610"
"312","SPGP_0U01670"
"313","SPGP_0U01780"
"314","SPGP_0U02080"
"315","SPGP_0U02090"
"316","SPGP_0U02110"
"317","SPGP_0U02200"
"318","SPGP_0V00150"
"319","SPGP_0V00240"
"320","SPGP_0V00270"
"321","SPGP_0V00290"
"322","SPGP_0V00590"
"323","SPGP_0V00600"
"324","SPGP_0V00820"
"325","SPGP_0V00860"
"326","SPGP_0V00880"
"327","SPGP_0V00900"
"328","SPGP_0V00980"
"329","SPGP_0V01000"
"330","SPGP_0V01180"
"331","SPGP_0V01330"
"332","SPGP_0V01380"
"333","SPGP_0V01480"
"334","SPGP_0V01920"
"335","SPGP_0V02010"
"336","SPGP_0W00130"
"337","SPGP_0W00150"
"338","SPGP_0W00240"
"339","SPGP_0W00410"
"340","SPGP_0W00600"
"341","SPGP_0W00610"
"342","SPGP_0W00660"
"343","SPGP_0W00670"
"344","SPGP_0W00690"
"345","SPGP_0W00790"
"346","SPGP_0W01340"
"347","SPGP_0W01350"
"348","SPGP_0W01590"
"349","SPGP_0W01640"
"350","SPGP_0W01700"
"351","SPGP_0W01940"
"352","SPGP_0W01970"
"353","SPGP_0W02120"
"354","SPGP_0W02210"
"355","SPGP_0W02300"
"356","SPGP_0W02370"
"357","SPGP_0W02380"
"358","SPGP_0W02800"
"359","SPGP_0W02920"
"360","SPGP_0W03050"
"361","SPGP_0W03090"
"362","SPGP_0W03130"
"363","SPGP_0W03340"
"364","SPGP_0W03460"
"365","SPGP_0W03770"
"366","SPGP_0W03890"
"367","SPGP_0W04160"
"368","SPGP_0W04420"
"369","SPGP_0W04600"
"370","SPGP_0W04670"
"371","SPGP_0W04690"
"372","SPGP_0W04720"
"373","SPGP_0W04760"
"374","SPGP_0W04880"
"375","SPGP_0X00320"
"376","SPGP_0X00410"
"377","SPGP_0X00420"
"378","SPGP_0X00640"
"379","SPGP_0X00650"
"380","SPGP_0X00720"
"381","SPGP_0X00730"
"382","SPGP_0X00780"
"383","SPGP_0X00910"
"384","SPGP_0X01070"
"385","SPGP_0Y00250"
"386","SPGP_0Y00460"
"387","SPGP_0Y00590"
"388","SPGP_0Y00750"
"389","SPGP_0Y01050"
"390","SPGP_0Y01480"
"391","SPGP_0Y01490"
"392","SPGP_0Y01550"
"393","SPGP_0Y01570"
"394","SPGP_0Y01580"
"395","SPGP_0Z00100"
"396","SPGP_0Z00190"
"397","SPGP_0Z00240"
"398","SPGP_0Z00660"
"399","SPGP_0Z00700"
"400","SPGP_0Z00750"
"401","SPGP_0Z00850"
"402","SPGP_0Z01280"
"403","SPGP_0Z01490"
"404","SPGP_0Z01670"
"405","SPGP_0Z01860"
"406","SPGP_0Z02040"
"407","SPGP_0Z02050"
"408","SPGP_0Z02310"
"409","SPGP_0Z02710"
"410","SPGP_0Z02720"
"411","SPGP_0Z03040"
"412","SPGP_0Z03090"
"413","SPGP_0AA00230"
"414","SPGP_0AA00280"
"415","SPGP_0AA00360"
"416","SPGP_0AA00370"
"417","SPGP_0AA00700"
"418","SPGP_0AA00770"
"419","SPGP_0AA00800"
"420","SPGP_0AA01010"
"421","SPGP_0AA01020"
"422","SPGP_0AC00360"
"423","SPGP_0AC00570"
"424","SPGP_0AC00600"
"425","SPGP_0AC00630"
"426","SPGP_0AC00700"
"427","SPGP_0AC00780"
"428","SPGP_0AC01050"
"429","SPGP_0B00210"
"430","SPGP_0B01070"
"431","SPGP_0B01080"
"432","SPGP_0B01230"
"433","SPGP_0B01560"
"434","SPGP_0B01800"
"435","SPGP_0B01940"
"436","SPGP_0B01950"
"437","SPGP_0B01960"
"438","SPGP_0B01970"
"439","SPGP_0AE00140"
"440","SPGP_0AE00190"
"441","SPGP_0AE00330"
"442","SPGP_0AE00650"
"443","SPGP_0AE00680"
"444","SPGP_0AE00730"
"445","SPGP_0AE00740"
"446","SPGP_0AE00990"
"447","SPGP_0AE01090"
"448","SPGP_0AE01190"
"449","SPGP_0AF00310"
"450","SPGP_0AG00110"
"451","SPGP_0AG00140"
"452","SPGP_0AH00110"
"453","SPGP_0AH00320"
"454","SPGP_0AH00710"
"455","SPGP_0AH00890"
"456","SPGP_0AH00990"
"457","SPGP_0AH01180"
"458","SPGP_0AI00110"
"459","SPGP_0AI00270"
