"","Condition","Upregulated","Downregulated","Total"
"1","13aa_vs_13leu",135,420,555
"2","22aa_vs_22leu",696,621,1317
"3","30aa_vs_30leu",1131,965,2096
"4","13aa_vs_13eth",314,345,659
"5","22aa_vs_22eth",560,543,1103
"6","30aa_vs_30eth",477,776,1253
"7","13aa_vs_13wort",426,831,1257
"8","22aa_vs_22wort",1215,1045,2260
"9","30aa_vs_30wort",832,604,1436
